,retail,grocery,park,trainsit,workplace,residential,date
562,-3,10,135,-40,-30,6,2021-08-30
563,-2,11,137,-40,-31,6,2021-08-31
564,-2,11,140,-40,-33,6,2021-09-01
565,-2,11,145,-40,-33,6,2021-09-02
566,-2,9,149,-39,-34,6,2021-09-03
567,-3,8,151,-40,-35,6,2021-09-04
568,-4,7,149,-40,-36,6,2021-09-05
569,-5,7,142,-41,-37,7,2021-09-06
570,-5,7,133,-42,-37,7,2021-09-07
571,-5,7,124,-42,-35,7,2021-09-08
572,-5,8,118,-41,-33,7,2021-09-09
573,-5,8,115,-41,-30,6,2021-09-10
574,-4,8,112,-40,-28,6,2021-09-11
575,-4,8,110,-40,-27,6,2021-09-12
576,-4,8,108,-40,-28,6,2021-09-13
577,-4,8,108,-40,-29,6,2021-09-14
578,-4,8,109,-40,-29,6,2021-09-15
579,-3,7,112,-40,-29,6,2021-09-16
580,-3,7,114,-39,-28,6,2021-09-17
581,-3,6,113,-39,-27,5,2021-09-18
582,-3,6,107,-40,-26,6,2021-09-19
583,-3,6,97,-41,-27,6,2021-09-20
584,-4,5,85,-42,-27,7,2021-09-21
585,-5,5,77,-42,-27,7,2021-09-22
586,-6,5,73,-42,-26,7,2021-09-23
587,-6,5,74,-42,-24,7,2021-09-24
588,-5,5,78,-41,-23,7,2021-09-25
589,-5,6,82,-41,-23,7,2021-09-26
590,-4,6,85,-41,-24,7,2021-09-27
591,-4,7,86,-41,-24,7,2021-09-28
592,-4,7,86,-40,-25,7,2021-09-29
593,-4,7,85,-40,-24,7,2021-09-30
594,-4,7,82,-40,-24,6,2021-10-01
595,-4,7,78,-40,-23,6,2021-10-02
596,-4,8,73,-40,-23,6,2021-10-03
597,-5,8,70,-40,-24,7,2021-10-04
598,-5,9,70,-40,-25,7,2021-10-05
599,-5,9,72,-40,-26,7,2021-10-06
600,-6,8,78,-40,-27,7,2021-10-07
601,-7,7,85,-40,-28,7,2021-10-08
602,-8,5,91,-40,-30,7,2021-10-09
603,-9,3,95,-41,-31,7,2021-10-10
604,-10,2,94,-41,-32,7,2021-10-11
605,-9,2,90,-42,-32,7,2021-10-12
606,-9,2,82,-41,-30,7,2021-10-13
607,-7,3,74,-41,-27,7,2021-10-14
608,-6,4,67,-40,-25,7,2021-10-15
609,-5,4,62,-40,-23,7,2021-10-16
610,-5,4,60,-40,-22,7,2021-10-17
611,-5,5,57,-40,-23,7,2021-10-18
612,-5,5,55,-40,-23,7,2021-10-19
613,-5,5,53,-40,-23,7,2021-10-20
614,-5,4,51,-40,-23,7,2021-10-21
615,-4,4,49,-40,-22,7,2021-10-22
616,-4,4,46,-39,-21,7,2021-10-23
617,-4,3,42,-40,-21,7,2021-10-24
618,-4,4,38,-40,-22,7,2021-10-25
619,-4,4,35,-40,-23,7,2021-10-26
620,-4,5,33,-40,-23,8,2021-10-27
621,-4,5,32,-40,-22,7,2021-10-28
622,-4,5,32,-39,-22,7,2021-10-29
623,-4,5,32,-39,-21,7,2021-10-30
624,-4,5,32,-39,-21,7,2021-10-31
625,-5,5,32,-40,-22,7,2021-11-01
626,-5,5,33,-40,-23,7,2021-11-02
627,-5,4,35,-40,-23,7,2021-11-03
628,-5,4,38,-40,-22,7,2021-11-04
629,-5,4,42,-40,-21,7,2021-11-05
630,-4,4,45,-39,-21,7,2021-11-06
631,-4,4,46,-39,-21,7,2021-11-07
632,-4,4,44,-40,-22,7,2021-11-08
633,-5,4,40,-40,-23,8,2021-11-09
634,-5,3,34,-41,-23,8,2021-11-10
635,-5,3,29,-41,-23,8,2021-11-11
636,-5,2,23,-41,-22,8,2021-11-12
637,-5,2,18,-41,-22,8,2021-11-13
638,-6,2,14,-41,-22,8,2021-11-14
639,-6,1,11,-41,-22,8,2021-11-15
640,-6,1,9,-41,-22,8,2021-11-16
641,-6,1,9,-41,-22,8,2021-11-17
642,-5,1,9,-41,-22,8,2021-11-18
643,-5,2,10,-40,-21,8,2021-11-19
644,-4,2,10,-40,-20,8,2021-11-20
645,-4,2,9,-40,-20,8,2021-11-21
646,-4,2,8,-41,-21,8,2021-11-22
647,-4,2,7,-41,-22,8,2021-11-23
648,-4,2,5,-41,-22,8,2021-11-24
649,-4,2,4,-41,-22,8,2021-11-25
650,-3,2,4,-41,-21,8,2021-11-26
651,-3,2,4,-41,-20,8,2021-11-27
652,-3,2,3,-41,-20,8,2021-11-28
653,-4,3,3,-41,-21,8,2021-11-29
654,-4,3,3,-42,-21,8,2021-11-30
655,-4,3,3,-42,-22,8,2021-12-01
656,-4,3,4,-42,-21,8,2021-12-02
657,-5,3,4,-42,-20,8,2021-12-03
658,-5,2,3,-42,-20,8,2021-12-04
659,-6,2,2,-42,-20,8,2021-12-05
660,-6,2,1,-43,-20,8,2021-12-06
661,-6,2,0,-43,-21,8,2021-12-07
662,-6,3,1,-43,-21,8,2021-12-08
663,-5,3,3,-42,-20,8,2021-12-09
664,-4,4,6,-42,-19,8,2021-12-10
665,-3,5,9,-41,-19,8,2021-12-11
666,-3,6,11,-41,-19,8,2021-12-12
667,-2,7,11,-41,-20,8,2021-12-13
668,-2,8,10,-42,-21,8,2021-12-14
669,-2,9,9,-42,-21,8,2021-12-15
670,-2,9,8,-42,-22,8,2021-12-16
671,-2,10,7,-42,-22,8,2021-12-17
672,-2,12,7,-42,-23,9,2021-12-18
673,-1,14,6,-43,-26,9,2021-12-19
674,-2,16,6,-44,-30,10,2021-12-20
675,-3,17,5,-46,-35,10,2021-12-21
676,-6,16,4,-48,-40,11,2021-12-22
677,-10,12,4,-50,-45,12,2021-12-23
678,-15,6,5,-51,-50,13,2021-12-24
679,-18,1,6,-53,-53,13,2021-12-25
680,-19,-1,7,-54,-56,14,2021-12-26
681,-19,-2,10,-55,-58,15,2021-12-27
682,-19,-1,12,-56,-58,16,2021-12-28
683,-19,-1,13,-56,-58,17,2021-12-29
684,-21,-2,13,-57,-57,17,2021-12-30
685,-23,-3,12,-57,-54,17,2021-12-31
686,-25,-5,8,-57,-52,16,2022-01-01
687,-26,-6,3,-57,-49,16,2022-01-02
688,-27,-6,-1,-58,-46,17,2022-01-03
689,-28,-6,-7,-58,-44,17,2022-01-04
690,-28,-5,-11,-58,-42,17,2022-01-05
691,-29,-5,-14,-58,-40,17,2022-01-06
692,-30,-5,-16,-58,-38,16,2022-01-07
693,-31,-6,-17,-58,-36,16,2022-01-08
694,-32,-7,-18,-58,-36,16,2022-01-09
695,-32,-7,-19,-59,-36,16,2022-01-10
696,-32,-7,-19,-59,-37,16,2022-01-11
697,-33,-8,-19,-59,-38,16,2022-01-12
698,-33,-8,-18,-59,-38,16,2022-01-13
699,-34,-9,-17,-59,-37,16,2022-01-14
700,-34,-10,-17,-59,-37,16,2022-01-15
701,-35,-11,-17,-59,-37,16,2022-01-16
702,-35,-11,-17,-58,-37,16,2022-01-17
703,-35,-11,-17,-58,-37,16,2022-01-18
704,-34,-9,-17,-57,-36,15,2022-01-19
705,-32,-8,-17,-56,-34,15,2022-01-20
706,-31,-7,-16,-56,-32,14,2022-01-21
707,-31,-7,-15,-55,-30,13,2022-01-22
708,-30,-7,-15,-55,-29,13,2022-01-23
709,-30,-7,-15,-55,-30,13,2022-01-24
710,-30,-7,-15,-55,-30,13,2022-01-25
711,-29,-6,-15,-55,-30,13,2022-01-26
712,-28,-6,-14,-54,-29,13,2022-01-27
713,-27,-5,-12,-54,-28,13,2022-01-28
714,-26,-5,-10,-53,-28,12,2022-01-29
715,-25,-5,-9,-53,-28,12,2022-01-30
716,-25,-5,-9,-52,-28,12,2022-01-31
717,-24,-5,-9,-52,-28,12,2022-02-01
718,-24,-6,-9,-52,-28,12,2022-02-02
719,-24,-7,-8,-51,-28,12,2022-02-03
720,-23,-7,-6,-51,-26,11,2022-02-04
721,-22,-6,-4,-50,-25,11,2022-02-05
722,-21,-6,-3,-50,-24,10,2022-02-06
723,-21,-5,-3,-50,-24,10,2022-02-07
724,-20,-4,-4,-50,-25,10,2022-02-08
725,-19,-3,-5,-50,-25,10,2022-02-09
726,-19,-2,-7,-50,-24,10,2022-02-10
727,-18,-1,-8,-49,-23,10,2022-02-11
728,-18,-1,-9,-49,-23,10,2022-02-12
729,-18,-2,-10,-49,-23,10,2022-02-13
730,-18,-2,-11,-50,-24,10,2022-02-14
731,-19,-4,-11,-50,-26,10,2022-02-15
732,-20,-5,-11,-50,-27,11,2022-02-16
733,-21,-7,-9,-50,-29,11,2022-02-17
734,-21,-9,-6,-50,-30,11,2022-02-18
735,-21,-9,-3,-50,-31,11,2022-02-19
736,-21,-10,-1,-50,-32,11,2022-02-20
737,-20,-9,0,-50,-32,11,2022-02-21
738,-20,-9,-1,-50,-32,11,2022-02-22
739,-19,-8,-4,-50,-30,11,2022-02-23
740,-19,-7,-6,-49,-27,10,2022-02-24
741,-18,-6,-7,-48,-24,9,2022-02-25
742,-17,-5,-7,-47,-22,9,2022-02-26
743,-17,-5,-7,-47,-21,9,2022-02-27
744,-16,-5,-6,-47,-22,8,2022-02-28
745,-16,-4,-6,-46,-22,8,2022-03-01
746,-15,-5,-4,-46,-22,8,2022-03-02
747,-15,-5,-3,-46,-22,8,2022-03-03
748,-15,-5,-1,-45,-21,8,2022-03-04
749,-14,-5,0,-45,-21,8,2022-03-05
750,-15,-6,-1,-45,-21,8,2022-03-06
751,-15,-6,-2,-46,-21,8,2022-03-07
752,-16,-6,-4,-46,-22,8,2022-03-08
753,-16,-7,-6,-46,-22,8,2022-03-09
754,-16,-7,-7,-46,-23,8,2022-03-10
755,-16,-7,-7,-46,-23,8,2022-03-11
756,-15,-8,-6,-46,-23,8,2022-03-12
757,-15,-8,-4,-46,-24,8,2022-03-13
758,-14,-7,0,-46,-26,8,2022-03-14
759,-13,-6,4,-46,-28,8,2022-03-15
760,-12,-6,9,-46,-28,8,2022-03-16
761,-11,-5,12,-45,-27,8,2022-03-17
762,-10,-4,14,-45,-26,7,2022-03-18
763,-10,-4,13,-44,-24,7,2022-03-19
764,-11,-4,11,-44,-23,7,2022-03-20
765,-12,-4,7,-45,-22,7,2022-03-21
766,-13,-5,3,-45,-22,8,2022-03-22
767,-13,-5,-1,-46,-22,8,2022-03-23
768,-14,-6,-4,-46,-21,8,2022-03-24
769,-14,-6,-7,-45,-20,8,2022-03-25
770,-14,-6,-9,-45,-20,8,2022-03-26
771,-14,-6,-10,-45,-20,8,2022-03-27
772,-14,-5,-10,-46,-20,8,2022-03-28
773,-14,-4,-8,-46,-21,8,2022-03-29
774,-13,-4,-5,-45,-21,8,2022-03-30
775,-12,-3,-1,-45,-21,7,2022-03-31
776,-12,-2,2,-44,-20,7,2022-04-01
777,-11,-2,6,-44,-20,7,2022-04-02
778,-11,-2,8,-44,-20,7,2022-04-03
779,-11,-1,10,-44,-20,7,2022-04-04
780,-11,-1,11,-44,-21,7,2022-04-05
781,-11,-1,11,-44,-21,7,2022-04-06
782,-10,0,12,-43,-21,7,2022-04-07
783,-9,0,14,-43,-20,7,2022-04-08
784,-8,1,17,-42,-20,7,2022-04-09
785,-8,1,20,-42,-21,7,2022-04-10
786,-8,2,23,-43,-23,7,2022-04-11
787,-9,2,25,-44,-26,8,2022-04-12
788,-10,1,26,-44,-29,8,2022-04-13
789,-12,0,27,-44,-32,9,2022-04-14
790,-14,-3,26,-45,-33,9,2022-04-15
791,-15,-5,25,-45,-33,9,2022-04-16
792,-16,-6,23,-45,-33,8,2022-04-17
793,-15,-5,21,-45,-31,8,2022-04-18
794,-13,-4,21,-44,-29,8,2022-04-19
795,-11,-2,24,-43,-26,8,2022-04-20
796,-9,-1,28,-42,-24,7,2022-04-21
797,-7,0,32,-41,-21,7,2022-04-22
798,-6,0,36,-40,-19,6,2022-04-23
799,-5,0,37,-39,-19,6,2022-04-24
800,-5,1,36,-39,-19,6,2022-04-25
801,-4,2,35,-39,-20,6,2022-04-26
802,-4,2,36,-38,-20,6,2022-04-27
803,-3,3,37,-37,-20,6,2022-04-28
804,-2,3,39,-36,-19,5,2022-04-29
805,-2,4,41,-36,-19,5,2022-04-30
806,-1,4,43,-36,-19,5,2022-05-01
807,-1,4,44,-36,-20,5,2022-05-02
808,-1,5,48,-36,-20,5,2022-05-03
809,0,6,54,-36,-21,5,2022-05-04
810,0,7,63,-35,-20,5,2022-05-05
811,1,8,73,-34,-19,4,2022-05-06
812,2,8,82,-34,-19,4,2022-05-07
813,2,8,88,-33,-19,4,2022-05-08
814,2,8,93,-34,-19,4,2022-05-09
815,2,8,95,-34,-20,4,2022-05-10
816,1,8,97,-34,-21,4,2022-05-11
817,1,7,99,-33,-20,4,2022-05-12
818,1,7,99,-33,-19,3,2022-05-13
819,1,7,98,-32,-19,3,2022-05-14
820,0,6,93,-32,-19,4,2022-05-15
821,0,6,89,-33,-20,4,2022-05-16
822,0,6,86,-33,-21,4,2022-05-17
823,0,5,87,-33,-22,4,2022-05-18
824,0,5,93,-33,-24,4,2022-05-19
825,0,4,101,-33,-25,4,2022-05-20
826,0,3,108,-33,-27,4,2022-05-21
827,0,3,112,-33,-28,4,2022-05-22
828,0,3,113,-34,-29,4,2022-05-23
829,0,4,110,-34,-29,4,2022-05-24
830,0,5,107,-34,-27,4,2022-05-25
831,0,6,106,-33,-24,4,2022-05-26
832,1,7,107,-32,-21,3,2022-05-27
833,2,7,110,-31,-18,3,2022-05-28
834,2,8,111,-30,-18,3,2022-05-29
835,3,8,111,-30,-18,3,2022-05-30
836,3,9,109,-30,-18,3,2022-05-31
837,2,9,108,-30,-19,3,2022-06-01
838,2,8,107,-29,-18,3,2022-06-02
839,2,7,106,-28,-18,3,2022-06-03
840,2,7,103,-28,-17,3,2022-06-04
841,1,6,98,-28,-17,3,2022-06-05
842,1,6,93,-29,-18,3,2022-06-06
843,0,6,90,-29,-18,4,2022-06-07
844,0,6,90,-29,-18,4,2022-06-08
845,0,6,94,-29,-18,4,2022-06-09
846,1,6,100,-28,-17,3,2022-06-10
847,1,6,105,-28,-17,3,2022-06-11
848,2,7,108,-27,-17,3,2022-06-12
849,2,7,110,-27,-17,3,2022-06-13
850,2,8,111,-27,-18,3,2022-06-14
851,2,8,112,-27,-18,3,2022-06-15
852,3,9,115,-26,-18,3,2022-06-16
853,3,9,118,-25,-17,2,2022-06-17
854,4,9,121,-24,-17,2,2022-06-18
855,4,9,123,-24,-17,2,2022-06-19
856,4,9,123,-25,-18,2,2022-06-20
857,4,9,124,-25,-19,3,2022-06-21
858,3,9,126,-25,-19,3,2022-06-22
859,4,9,130,-25,-19,3,2022-06-23
860,4,9,135,-24,-19,3,2022-06-24
861,4,9,138,-23,-19,2,2022-06-25
862,5,10,141,-23,-20,3,2022-06-26
863,5,10,145,-24,-23,3,2022-06-27
864,5,11,151,-25,-26,3,2022-06-28
865,4,10,160,-25,-29,4,2022-06-29
866,3,9,170,-26,-31,4,2022-06-30
867,2,8,178,-26,-32,4,2022-07-01
868,2,7,179,-26,-32,4,2022-07-02
869,1,7,173,-26,-31,3,2022-07-03
870,1,7,164,-27,-30,4,2022-07-04
871,1,7,155,-27,-29,4,2022-07-05
872,1,7,150,-28,-28,4,2022-07-06
873,1,7,150,-27,-27,3,2022-07-07
874,1,6,152,-27,-25,3,2022-07-08
875,2,6,154,-26,-24,3,2022-07-09
876,2,6,154,-26,-24,3,2022-07-10
877,2,7,152,-26,-25,3,2022-07-11
878,2,7,150,-26,-25,3,2022-07-12
879,2,7,150,-26,-25,4,2022-07-13
880,2,7,152,-26,-25,4,2022-07-14
881,2,7,154,-25,-24,4,2022-07-15
882,1,7,154,-24,-24,4,2022-07-16
883,1,7,150,-25,-24,4,2022-07-17
884,1,7,145,-25,-24,5,2022-07-18
885,1,8,140,-26,-25,5,2022-07-19
886,1,8,138,-27,-25,5,2022-07-20
887,1,8,139,-26,-25,5,2022-07-21
888,1,8,141,-26,-24,4,2022-07-22
889,1,8,144,-25,-23,4,2022-07-23
890,1,8,146,-25,-23,4,2022-07-24
891,1,9,148,-25,-24,4,2022-07-25
892,1,10,153,-26,-26,4,2022-07-26
893,2,10,159,-25,-27,4,2022-07-27
894,2,10,168,-25,-28,4,2022-07-28
895,2,10,177,-24,-28,3,2022-07-29
896,1,9,183,-24,-29,3,2022-07-30
897,1,8,183,-25,-30,4,2022-07-31
898,0,8,177,-26,-31,4,2022-08-01
899,0,8,167,-27,-32,5,2022-08-02
900,0,8,156,-27,-31,5,2022-08-03
901,0,8,148,-27,-29,4,2022-08-04
902,0,8,143,-26,-26,4,2022-08-05
903,0,8,140,-26,-24,4,2022-08-06
904,0,8,139,-25,-23,4,2022-08-07
905,0,8,139,-25,-24,4,2022-08-08
906,1,8,141,-25,-24,4,2022-08-09
907,1,9,145,-25,-24,4,2022-08-10
908,1,9,151,-24,-23,4,2022-08-11
909,2,9,157,-23,-22,3,2022-08-12
910,2,8,160,-22,-22,3,2022-08-13
911,2,9,159,-22,-22,4,2022-08-14
912,2,9,156,-22,-22,4,2022-08-15
913,2,9,152,-23,-23,5,2022-08-16
914,2,9,148,-23,-24,5,2022-08-17
915,2,9,145,-23,-23,5,2022-08-18
916,2,9,142,-22,-22,5,2022-08-19
917,2,8,139,-21,-22,5,2022-08-20
918,2,8,135,-21,-22,5,2022-08-21
919,2,8,131,-22,-23,5,2022-08-22
920,2,8,129,-22,-23,6,2022-08-23
921,2,9,130,-22,-24,6,2022-08-24
922,2,9,133,-21,-23,5,2022-08-25
923,2,8,136,-20,-22,5,2022-08-26
924,2,9,137,-19,-21,4,2022-08-27
925,3,9,135,-19,-21,4,2022-08-28
926,3,10,132,-19,-22,4,2022-08-29
927,4,10,129,-20,-24,4,2022-08-30
928,4,11,129,-20,-25,4,2022-08-31
929,4,10,131,-20,-26,4,2022-09-01
930,3,10,134,-20,-27,4,2022-09-02
931,2,9,135,-19,-28,4,2022-09-03
932,1,8,132,-19,-29,4,2022-09-04
933,1,8,126,-20,-30,4,2022-09-05
934,0,8,119,-20,-30,4,2022-09-06
935,0,9,113,-19,-28,4,2022-09-07
936,1,9,108,-18,-25,4,2022-09-08
937,1,9,104,-17,-22,3,2022-09-09
938,1,9,100,-16,-20,3,2022-09-10
939,1,9,95,-16,-19,3,2022-09-11
940,1,9,89,-16,-20,3,2022-09-12
941,0,9,85,-17,-20,3,2022-09-13
942,0,9,82,-17,-21,3,2022-09-14
943,0,9,82,-17,-20,3,2022-09-15
944,1,8,83,-17,-20,3,2022-09-16
945,1,8,83,-17,-19,3,2022-09-17
946,1,8,80,-17,-19,3,2022-09-18
947,1,8,76,-18,-20,3,2022-09-19
948,0,8,71,-18,-20,4,2022-09-20
949,0,8,67,-19,-21,4,2022-09-21
950,0,8,64,-19,-20,4,2022-09-22
951,0,8,60,-19,-19,4,2022-09-23
952,0,8,57,-19,-18,3,2022-09-24
953,0,8,54,-20,-18,4,2022-09-25
954,0,8,52,-20,-18,4,2022-09-26
955,0,9,53,-20,-19,4,2022-09-27
956,1,9,58,-19,-19,4,2022-09-28
957,1,10,65,-18,-18,3,2022-09-29
958,2,10,72,-17,-17,3,2022-09-30
959,2,11,76,-17,-16,3,2022-10-01
960,2,11,77,-17,-16,3,2022-10-02
961,2,11,75,-17,-17,3,2022-10-03
962,1,12,73,-18,-18,3,2022-10-04
963,0,11,71,-19,-20,3,2022-10-05
964,0,10,72,-20,-21,3,2022-10-06
965,-2,8,75,-21,-23,4,2022-10-07
966,-3,6,77,-22,-25,4,2022-10-08
967,-5,4,78,-24,-26,4,2022-10-09
968,-6,3,76,-25,-27,5,2022-10-10
969,-6,3,71,-25,-27,5,2022-10-11
970,-5,4,63,-25,-26,5,2022-10-12
971,-4,5,57,-25,-24,5,2022-10-13
972,-3,5,52,-24,-22,5,2022-10-14
