Geographic code,Geographic_name_english,Longitude,Latitude,Population_ 2016,Geographic code_ Census division,CSD type_ english
3556095,Constance_Lake_92,-84.1190766,49.8184825,590,3556,Rural
3512048,Tudor_and_Cashel,-77.524307,44.9540098,586,3512,Rural
3557021,Bruce_Mines,-83.7934739,46.3002729,582,3557,Rural
3560004,Whitefish_Bay_32A,-93.839156,49.4084373,575,3560,Rural
3560008,Sioux_Narrows-Nestor_Falls,-94.0958688,49.4108298,567,3560,Rural
3560054,Cat_Lake_63C,-91.8125433,51.7380281,565,3560,Rural
3554026,Harley,-79.7050571,47.6375765,551,3554,Rural
3554014,Harris,-79.5860367,47.5472653,545,3554,Rural
3556052,Fauquier-Strickland,-81.9418648,49.2878671,536,3556,Rural
3557014,Tarbutt_and_Tarbutt_Additional,-84.0180999,46.3504126,534,3557,Rural
3549005,The_Archipelago,-80.3459393,45.6097518,531,3549,Rural
3548022,Calvin,-78.9208221,46.2677359,516,3548,Rural
3560076,Sachigo_Lake_1,-92.1852191,53.8853799,514,3560,Rural
3560098,Kingfisher_Lake_1,-89.844905,53.0296731,511,3560,Rural
3554021,Hudson,-79.844843,47.5309585,503,3554,Rural
3557040,The_North_Shore,-82.698668,46.2255512,497,3557,Rural
3514027,Alderville_First_Nation,-78.0851607,44.1728865,495,3514,Rural
3551027,Gordon_Barrie_Island,-82.4175246,45.9003476,490,3551,Rural
3559031,Morley,-94.2077426,48.7429726,481,3559,Rural
3558012,Gillies,-89.6853032,48.2588313,474,3558,Rural
3560067,Poplar_Hill,-94.3018791,52.0998786,473,3560,Rural
3559040,Dawson,-94.6190602,48.8279381,468,3559,Rural
3539002,Newbury,-81.797839,42.6844699,466,3539,Rural
3551040,Whitefish_River_(Part)_4,-85.323214,51.253775,456,3551,Rural
3554049,Evanturel,-79.7966171,47.8051383,449,3554,Rural
3558062,Pic_River_50,-86.2740076,48.6263993,443,3558,Rural
3547037,Pikwakanagan_(Golden_Lake_39),-77.244403,45.5654724,440,3547,Rural
3560088,Wapekeka_2,-89.5836505,53.8393081,440,3560,Rural
3551001,Tehkummah,-82.0147889,45.65591,436,3551,Rural
3560055,Osnaburgh_63B,-90.1746252,51.2525796,435,3560,Rural
3560066,Kenora_38B,-94.4242757,49.7345951,421,3560,Rural
3560104,Kee-Way-Win,-92.8176015,52.9481152,421,3560,Rural
3554042,James,-80.3414074,47.6933049,420,3554,Rural
3557073,Mississagi_River_8,-83.0087708,46.312354,411,3557,Rural
3536029,Moravian_47,-81.8770671,42.5660933,395,3536,Rural
3560068,Shoal_Lake_(Part)_39A,-95.108228,49.617951,391,3560,Rural
3560049,Pickle_Lake,-90.193782,51.467825,388,3560,Rural
3552036,Killarney,-81.5114972,45.9719137,386,3552,Rural
3552051,Whitefish_Lake_6,-81.2285314,46.3146494,386,3552,Rural
3558068,Long_Lake_58,-86.5626243,49.7923513,385,3558,Rural
3560086,Summer_Beaver,-88.4618085,52.7986795,382,3560,Rural
3551041,Sucker_Creek_23,-81.9952215,45.9647536,372,3551,Rural
3557072,Serpent_River_7,-82.5592887,46.1876938,371,3557,Rural
3560063,Sabaskong_Bay_35D,-93.9167314,49.179867,371,3560,Rural
3554029,Casey,-79.5576227,47.6241454,368,3554,Rural
3558076,Aroland_83,-86.9662133,50.2287333,366,3558,Rural
3515008,Hiawatha_First_Nation,-78.2162833,44.1866362,362,3515,Rural
3560078,Fort_Severn_89,-87.6330027,55.99067,361,3560,Rural
3554024,Kerns,-79.8171293,47.6079009,358,3554,Rural
3560095,Bearskin_Lake,-90.95338,53.9132445,355,3560,Rural
3512051,Limerick,-77.6646789,44.9127444,346,3512,Rural
3549077,Dokis_9,-80.0695759,46.0649945,344,3549,Rural
3551028,Burpee_and_Mills,-82.6473949,45.6295023,343,3551,Rural
3552031,Nairn_and_Hyman,-81.6264285,46.3252944,342,3552,Rural
3554054,Chamberlain,-79.9661025,47.9000247,332,3554,Rural
3558097,Whitesand,-89.0304593,50.3159011,325,3558,Rural
3549073,Parry_Island_First_Nation,-80.1583698,45.299032,317,3549,Rural
3558034,Dorion,-88.6364667,48.8115813,316,3558,Rural
3554006,Latchford,-79.811053,47.329887,313,3554,Rural
3557001,Jocelyn,-83.9386858,46.1444602,313,3557,Rural
3557004,Hilton,-83.842257,46.1776717,307,3557,Rural
3549051,Joly,-79.2491155,45.7979609,304,3549,Rural
3558064,Lake_Helen_53A,-88.2409836,49.029205,293,3558,Rural
3560080,North_Spirit_Lake,-93.023709,52.506859,293,3560,Rural
3559026,Manitou_Rapids_11,-93.9294851,48.6623162,283,3559,Rural
3560097,Muskrat_Dam_Lake,-91.812052,53.386598,281,3560,Rural
3559066,Seine_River_23A,-92.425934,48.719284,263,3559,Rural
3519076,Chippewas_of_Georgina_Island_First_Nation,-79.2958491,44.3711031,261,3519,Rural
3560052,Marten_Falls_65,-85.8954427,51.6751307,252,3560,Rural
3547098,Head_Clara_and_Maria,-77.9952883,46.1539312,248,3547,Rural
3558065,Gull_River_55,-89.1416357,49.8208498,247,3558,Rural
3560093,Neskantaga,-88.0321218,52.2014143,237,3560,Rural
3537001,Pelee,-82.6591465,41.7744889,235,3537,Rural
3559051,Big_Grassy_River_35G,-94.2893267,49.0527187,235,3559,Rural
3558085,Osnaburgh_63A,-90.2430137,51.0642551,232,3558,Rural
3559047,Lake_of_the_Woods,-94.8475431,49.0609997,230,3559,Rural
3556073,Opasatika,-82.877021,49.529882,226,3556,Rural
3554056,Matachewan,-80.6473962,47.9392024,225,3554,Rural
3560024,Eagle_Lake_27,-93.0377664,49.7433728,224,3560,Rural
3554034,Hilliard,-79.6769036,47.7146292,223,3554,Rural
3559068,Rainy_Lake_17A,-93.5907273,48.8493926,211,3559,Rural
3558067,Ginoogaming_First_Nation,-86.5153368,49.7308142,210,3558,Rural
3544073,Moose_Point_79,-80.0375238,45.0828894,208,3544,Rural
3558060,Pic_Mobert_North,-85.6191552,48.7025835,197,3558,Rural
3549072,Shawanaga_17,-80.3170266,45.5215667,195,3549,Rural
3560091,Peawanuck,-85.4277409,54.9938942,195,3560,Rural
3560089,The_Dalles_38C,-94.5328715,49.8841624,194,3560,Rural
3552052,Mattagami_71,-81.5296842,47.8672239,190,3552,Rural
3549095,Parry_Sound_Unorganized_North_East_Part,-79.2842868,45.8973103,187,3549,Rural
3560046,Slate_Falls,-91.582264,51.161124,187,3560,Rural
3558069,Rocky_Bay_1,-88.1324715,49.4385537,184,3558,Rural
3559060,Neguaguon_Lake_25D,-92.0307484,48.3909294,177,3559,Rural
3557006,Hilton_Beach,-83.8888755,46.2568935,171,3557,Rural
3551094,Manitoulin_Unorganized_West_Part,-82.9457993,45.8769365,169,3551,Rural
3560057,Wabigoon_Lake_27,-92.5119703,49.6129253,168,3560,Rural
3548019,Mattawan,-78.8289178,46.3751624,161,3548,Rural
3559064,Rainy_Lake_26A,-92.9383776,48.7470695,157,3559,Rural
3539018,Munsee-Delaware_Nation_1,-81.4773294,42.7944165,153,3539,Rural
3548072,Bear_Island_1,-80.068333,46.9809952,153,3548,Rural
3560064,Shoal_Lake_34B2,-95.1215206,49.6061343,151,3560,Rural
3556033,Abitibi_70,-79.9814442,48.6151454,144,3556,Rural
3560069,Rat_Portage_38A,-94.5979661,49.6868998,140,3560,Rural
3554066,Gauthier,-79.8331539,48.12848,138,3554,Rural
3551044,Sheshegwaning_20,-82.8514279,45.9379374,137,3551,Rural
3528035,New_Credit_(Part)_40A,-80.0814292,43.0001853,135,3528,Rural
3551042,Sheguiandah_24,-81.943072,45.8534473,134,3551,Rural
3518022,Mississaugas_of_Scugog_Island,-78.8863847,44.1935628,131,3518,Rural
3558061,Pic_Mobert_South,-85.6418817,48.6899351,125,3558,Rural
3557026,Thessalon_12,-83.4168164,46.2451906,124,3557,Rural
3560083,Whitefish_Bay_34A,-93.976126,49.3732945,124,3560,Rural
3549076,French_River_13,-80.5158329,46.0021344,117,3549,Rural
3553040,Wahnapitei_11,-80.8379677,46.7741054,116,3553,Rural
3559061,Rainy_Lake_18C,-93.3473249,48.7133231,115,3559,Rural
3554038,Thornloe,-79.7639792,47.6678616,112,3554,Rural
3548091,Nipissing_Unorganized_South_Part,-78.6864071,45.8005183,103,3548,Rural
3549078,Magnetewan_1,-80.458631,45.748153,101,3549,Rural
