Date,BEDCAP_ICU,VENTCAP_ICU,BEDCAP_OTHER,VENTCAP_OTHER,COVID_NEWICU,COVID_ICU,COVID_NEWOTHER,COVID_OTHER,COVID_VENT,VENTCAP_TOTAL,NONCOVID_ICU,NONCOVID_OTHER,NONCOVID_VENT,COVID_HOSP
2021-02-19,5501,3260,59919,968,12,543,136,1831,312,4228,2165,34016,751,2374
2021-02-20,5365,3149,59809,968,10,563,125,1786,315,4117,2046,32087,506,2349
2021-02-21,5365,3149,59868,968,11,566,134,1846,317,4117,1666,26610,521,2412
2021-02-22,5365,3149,59953,968,12,567,122,1794,323,4117,2253,36791,734,2361
2021-02-23,5365,3149,59964,1056,14,587,143,1769,318,4205,2231,35039,753,2356
2021-02-24,5365,3149,59938,1056,17,573,135,1715,320,4205,2171,35051,733,2288
2021-02-25,5365,3149,60021,1056,15,570,134,1690,318,4205,2305,37171,799,2260
2021-02-26,5364,3148,59976,1055,10,554,145,1637,306,4203,2107,32510,705,2191
2021-02-27,5364,3148,59358,1055,13,569,113,1634,303,4203,2091,31703,541,2203
2021-02-28,5364,3148,59924,1055,12,564,114,1645,293,4203,1701,26950,543,2209
2021-03-01,5364,3148,60034,1055,14,577,131,1608,308,4203,2197,35101,681,2185
2021-03-02,5364,3148,60056,1055,15,560,150,1592,310,4203,2210,35087,759,2152
2021-03-03,5364,3148,59952,1080,11,558,131,1593,306,4228,2182,34983,777,2151
2021-03-04,5364,3148,60056,1080,13,547,134,1566,305,4228,2290,37059,786,2113
2021-03-05,5364,3148,59956,1078,11,542,135,1556,306,4226,2199,34201,771,2098
2021-03-06,5373,3157,59898,1078,10,534,116,1563,303,4235,2040,32113,548,2097
2021-03-07,5373,3157,59920,1078,10,544,111,1596,306,4235,1660,26820,529,2140
2021-03-08,5373,3157,59991,1078,16,554,133,1521,301,4235,2265,36878,709,2075
2021-03-09,5373,3157,60009,1078,11,551,150,1589,302,4235,2200,35003,740,2140
2021-03-10,5373,3157,59945,1078,12,546,141,1556,307,4235,2224,35089,775,2102
2021-03-11,5373,3157,59935,1078,6,546,141,1571,323,4235,2305,37052,770,2117
2021-03-12,5373,3157,59903,1078,9,537,158,1556,312,4235,2156,34223,731,2093
2021-03-13,5403,3193,59694,1079,8,540,294,1594,320,4272,2039,31885,511,2134
2021-03-14,5403,3193,59580,1079,7,562,147,1651,319,4272,1692,26526,504,2213
2021-03-15,5403,3193,59935,1079,7,555,136,1629,320,4272,2114,35073,701,2184
2021-03-16,5408,3198,59844,1079,26,590,168,1602,315,4277,2143,34722,773,2192
2021-03-17,5408,3198,59869,1079,10,584,163,1637,315,4277,2163,34610,749,2221
2021-03-18,5408,3198,59763,1079,18,588,172,1643,297,4277,2268,36595,790,2231
2021-03-19,5404,3198,59534,1080,15,580,199,1681,319,4278,2139,33540,774,2261
2021-03-20,5404,3198,59796,1080,12,584,123,1716,318,4278,2014,31471,552,2300
2021-03-21,5404,3198,59752,1080,14,591,138,1722,322,4278,1686,26323,525,2313
2021-03-22,5404,3198,59862,1080,9,622,220,1790,337,4278,2229,36601,725,2412
2021-03-23,5404,3198,59931,1080,14,638,191,1777,361,4278,2125,34718,721,2415
2021-03-24,5404,3198,59824,1080,14,639,179,1779,354,4278,2152,34688,702,2418
2021-03-25,5419,3198,59906,1080,8,665,197,1832,362,4278,2287,36833,719,2497
2021-03-26,5419,3198,59636,1083,14,675,151,1807,341,4281,1981,31943,511,2482
2021-03-27,5419,3198,59751,1083,13,675,133,1839,365,4281,1972,31749,496,2514
2021-03-28,5419,3198,59734,1083,12,693,158,1891,382,4281,1614,26638,505,2584
2021-03-29,5419,3198,59873,1083,19,705,177,1946,397,4281,2165,36617,698,2651
2021-03-30,5419,3198,59807,1083,9,712,195,1943,399,4281,2090,34556,702,2655
2021-03-31,5419,3198,59661,1083,16,717,222,1974,390,4281,2067,34380,619,2691
2021-04-01,5419,3198,59555,1083,17,722,228,1984,401,4281,2001,31746,640,2706
2021-04-02,5419,3207,59579,1092,13,754,220,2047,393,4299,1918,31062,513,2801
2021-04-03,5425,3207,59518,1092,16,791,222,2088,399,4299,1891,30885,456,2879
2021-04-04,5425,3207,59528,1092,17,819,192,2142,431,4299,1549,25852,498,2961
2021-04-05,5425,3207,59917,1092,35,859,243,2230,463,4299,2003,35724,560,3089
2021-04-06,5429,3211,60011,1092,15,856,270,2286,476,4303,1992,34060,651,3142
2021-04-07,5430,3212,60002,1092,26,897,284,2308,495,4304,1969,34417,684,3205
2021-04-08,5430,3212,60042,1092,20,919,284,2350,522,4304,2081,36826,675,3269
2021-04-09,5430,3219,59773,1088,17,960,307,2413,561,4307,1871,31801,638,3373
2021-04-10,5411,3200,59216,1088,30,996,309,2539,551,4288,1845,31150,507,3535
2021-04-11,5411,3200,59923,1088,24,1014,350,2654,589,4288,1494,26258,487,3668
2021-04-12,5411,3200,60028,1107,28,1028,342,2750,599,4307,2026,35809,701,3778
2021-04-13,5411,3200,60091,1107,23,1045,330,2838,627,4307,1918,33751,709,3883
2021-04-14,5411,3200,59797,1107,34,1070,327,2852,634,4307,1883,33585,693,3922
2021-04-15,5416,3200,60012,1107,35,1125,366,2913,674,4307,1943,35737,698,4038
2021-04-16,5416,3197,59968,1107,18,1154,411,3042,689,4304,1772,30850,637,4196
2021-04-17,5409,3190,59816,1107,24,1186,345,3103,700,4297,1719,30655,479,4289
2021-04-18,5417,3198,59963,1107,21,1216,333,3190,719,4305,1690,30762,478,4406
2021-04-19,5417,3198,59992,1107,16,1215,371,3205,747,4305,1866,34618,682,4420
2021-04-20,5417,3198,60027,1106,34,1261,414,3257,781,4304,1810,32925,694,4518
2021-04-21,5419,3198,59144,1106,30,1293,369,3207,803,4304,1779,32382,660,4500
2021-04-22,5422,3198,59755,1106,17,1308,321,3177,795,4304,1826,34473,675,4485
2021-04-23,5423,3219,59579,1102,20,1334,337,3124,797,4321,1669,29875,586,4458
2021-04-24,5460,3237,59588,1102,17,1342,330,3180,798,4339,1675,29968,442,4522
2021-04-25,5460,3237,59583,1102,27,1367,297,3195,801,4339,1618,30252,446,4562
2021-04-26,5460,3237,59912,1102,19,1365,331,3181,788,4339,1807,34528,663,4546
2021-04-27,5460,3237,59904,1102,20,1363,335,3153,795,4339,1759,32489,670,4516
2021-04-28,5409,3237,60166,1102,18,1380,343,3047,811,4339,1739,32330,658,4427
2021-04-29,5399,3237,60017,1102,21,1381,331,3001,821,4339,1822,34510,664,4382
2021-04-30,5398,3281,60067,1106,16,1386,336,2949,816,4387,1646,29985,574,4335
2021-05-01,5614,3493,59837,1106,22,1387,312,3000,803,4599,1606,30024,452,4387
2021-05-02,5614,3493,59849,1106,18,1381,291,3058,789,4599,1624,30298,444,4439
2021-05-03,5614,3493,59947,1106,22,1384,305,2946,799,4599,1845,34429,570,4330
2021-05-04,5614,3493,59955,1106,17,1375,317,2851,816,4599,1793,32462,708,4226
2021-05-05,5618,3498,59984,1106,16,1346,283,2819,812,4604,1754,32397,683,4165
2021-05-06,5619,3499,59951,1106,25,1320,270,2725,815,4605,1867,34560,722,4045
2021-05-07,5619,3508,59462,1110,23,1310,296,2648,791,4618,1695,29611,601,3958
2021-05-08,5619,3508,59365,1110,12,1300,266,2639,776,4618,1395,24496,467,3939
2021-05-09,5619,3508,59407,1110,13,1287,236,2709,746,4618,1417,24987,455,3996
2021-05-10,5627,3516,59906,1110,22,1281,234,2594,753,4626,1908,34484,715,3875
2021-05-11,5627,3516,59734,1110,23,1259,258,2632,744,4626,1815,32614,715,3891
2021-05-12,5627,3516,59853,1110,12,1262,218,2564,765,4626,1806,30743,695,3826
2021-05-13,5627,3516,59858,1110,21,1268,251,2543,772,4626,1896,32684,712,3811
2021-05-14,5624,3520,59783,1110,13,1269,178,2350,759,4630,1705,28349,603,3619
2021-05-15,5624,3520,59427,1110,12,1278,190,2361,756,4630,1367,22901,475,3639
2021-05-16,5624,3520,59803,1110,9,1268,179,2430,731,4630,1400,23390,469,3698
2021-05-17,5624,3520,59749,1110,10,1247,167,2314,751,4630,1934,33210,756,3561
2021-05-18,5624,3520,59826,1110,11,1195,220,2278,705,4630,1905,32987,782,3473
2021-05-19,5626,3522,59732,1110,17,1163,215,2230,656,4632,1963,32996,753,3393
2021-05-20,5626,3522,59788,1110,7,1140,209,2137,673,4632,2075,34990,801,3277
2021-05-21,5629,3529,59772,1112,23,1116,202,2144,658,4641,1882,30154,686,3260
2021-05-22,5629,3529,59719,1112,14,1088,169,2035,627,4641,1852,30046,504,3123
2021-05-23,5629,3529,59685,1112,6,1079,197,2076,612,4641,1847,30280,522,3155
2021-05-24,5629,3529,59356,1112,15,1073,177,2017,619,4641,1956,32483,569,3090
2021-05-25,5629,3529,59818,1112,27,1060,198,1944,599,4641,1984,33351,794,3004
2021-05-26,5629,3528,59786,1108,21,1028,172,1892,594,4636,2015,33556,788,2920
2021-05-27,5629,3528,59315,1108,15,1000,155,1782,585,4636,2101,35686,821,2782
2021-05-28,5631,3528,59641,1108,20,960,151,1677,557,4636,1917,30767,719,2637
2021-05-29,5631,3528,60305,1108,7,940,108,1641,533,4636,1486,23829,500,2581
2021-05-30,5631,3528,59274,1108,19,939,121,1588,511,4636,1915,25479,546,2527
2021-05-31,5631,3528,59450,1108,13,896,120,1502,509,4636,2134,35528,790,2398
2021-06-01,5631,3528,59431,1108,13,869,118,1482,518,4636,2070,33474,766,2351
2021-06-02,5631,3528,59383,1108,10,810,116,1414,476,4636,2062,33258,791,2224
2021-06-03,5636,3533,59549,1108,8,771,122,1328,473,4641,2071,33302,788,2099
2021-06-04,5636,3528,59433,1107,6,743,112,1293,464,4635,1990,30670,711,2036
2021-06-05,5636,3528,60872,1107,11,728,116,1297,450,4635,1574,30453,514,2025
2021-06-06,5636,3528,60502,1107,9,710,120,1278,442,4635,1648,33386,539,1988
2021-06-07,5636,3528,59921,1045,13,688,111,1243,403,4573,2062,33617,600,1931
2021-06-08,5636,3528,59819,1045,10,674,95,1177,413,4573,2100,33971,763,1851
2021-06-09,5636,3528,59889,1045,15,656,114,1129,400,4573,2090,34016,748,1785
2021-06-10,5632,3526,59746,1034,7,640,99,1048,394,4560,2177,36067,637,1688
2021-06-11,5631,3529,59590,1035,14,608,102,1006,373,4564,1999,31141,664,1614
2021-06-12,5632,3530,59053,1035,5,609,99,995,368,4565,1941,30492,620,1604
2021-06-13,5632,3530,59027,1035,6,593,84,975,357,4565,1913,30883,629,1568
2021-06-14,5632,3530,59165,1035,9,563,71,981,337,4565,2174,35555,751,1544
2021-06-15,5632,3530,59136,1035,6,542,91,930,327,4565,2109,33803,759,1472
2021-06-16,5632,3530,58779,1035,5,514,67,874,319,4565,2104,33568,701,1388
2021-06-17,5632,3530,58652,1035,11,508,87,816,313,4565,2119,33429,701,1324
2021-06-18,5632,3525,58744,1035,12,491,79,780,315,4560,2069,32712,674,1271
2021-06-19,5632,3525,59156,1035,10,488,81,749,297,4560,1576,30689,419,1237
2021-06-20,5632,3525,59746,1035,5,478,72,777,287,4560,1595,31121,434,1255
2021-06-21,5632,3525,59049,1035,12,471,55,696,282,4560,2102,33758,712,1167
2021-06-22,5632,3525,59297,1035,5,460,62,673,274,4560,2212,36218,720,1133
2021-06-23,5632,3525,59079,1035,4,449,65,638,274,4560,2127,33983,703,1087
2021-06-24,5632,3525,59125,1035,8,420,54,646,274,4560,2133,33927,710,1066
2021-06-25,5632,3525,58708,1035,7,414,66,607,253,4560,2127,33012,510,1021
2021-06-26,5632,3525,58850,1035,2,410,70,594,258,4560,1973,25393,472,1004
2021-06-27,5632,3525,58528,1035,3,396,53,605,246,4560,1973,25485,498,1001
2021-06-28,5632,3525,59080,1035,3,377,60,603,241,4560,2136,33564,730,980
2021-06-29,5632,3525,58922,1035,7,374,56,562,237,4560,2320,36390,771,936
2021-06-30,5632,3525,58420,1035,6,360,74,538,227,4560,2206,33612,771,898
2021-07-01,5632,3525,58571,1035,4,349,68,503,209,4560,1677,25572,517,852
2021-07-02,5632,3525,58601,1035,5,333,45,497,213,4560,1646,25323,515,830
2021-07-03,5630,3523,58657,1035,3,314,43,498,203,4558,1660,25650,495,812
2021-07-04,5630,3523,58364,1035,2,309,41,501,198,4558,1699,25427,481,810
2021-07-05,5630,3523,58669,1039,4,302,54,498,198,4562,2255,34221,771,800
2021-07-06,5630,3523,59053,1039,3,288,52,502,192,4562,2371,36938,792,790
2021-07-07,5634,3525,59112,1050,0,279,58,501,184,4575,2253,34773,766,780
2021-07-08,5634,3525,58982,1050,6,275,46,448,180,4575,2255,34596,749,723
2021-07-09,5634,3529,58305,1059,2,272,54,429,174,4588,2100,31417,665,701
2021-07-10,5634,3529,58188,1059,3,275,54,439,172,4588,2044,31151,494,714
2021-07-11,5634,3529,58943,1059,3,279,30,422,160,4588,2101,31935,506,701
2021-07-12,5634,3529,59112,1059,5,259,40,421,165,4588,2190,34461,696,680
2021-07-13,5634,3529,59663,1059,5,249,56,413,158,4588,2263,35444,728,662
2021-07-14,5634,3529,59706,1059,1,237,54,408,152,4588,2365,37546,749,645
2021-07-15,5634,3529,59647,1059,4,224,43,402,151,4588,2231,35122,733,626
2021-07-16,5634,3528,59469,1065,4,211,37,384,146,4593,2102,32304,652,595
2021-07-17,5634,3528,58661,1065,4,209,49,393,135,4593,1717,31861,507,602
2021-07-18,5634,3528,58769,1065,3,210,38,397,130,4593,1693,31968,501,607
2021-07-19,5634,3528,59232,1065,2,205,48,381,133,4593,2220,34556,740,586
2021-07-20,5634,3528,59652,1065,8,213,38,357,110,4593,2230,35139,705,570
2021-07-21,5634,3528,59662,1065,2,214,48,351,121,4593,2331,37286,743,565
2021-07-22,5634,3528,59410,1065,1,209,42,336,118,4593,2194,34771,614,545
2021-07-23,5634,3523,59079,1062,3,196,41,315,116,4585,2106,31935,686,511
2021-07-24,5634,3523,59269,1062,2,188,39,321,116,4585,2090,32005,508,509
2021-07-25,5634,3523,59499,1062,6,191,42,337,111,4585,2058,32294,521,528
2021-07-26,5462,3366,59737,1062,4,189,41,325,118,4428,2244,34812,752,514
2021-07-27,5462,3366,59738,1062,7,185,45,309,117,4428,2272,35179,775,494
2021-07-28,5462,3370,60046,1069,3,188,50,311,118,4439,2373,37285,754,499
2021-07-29,5462,3370,59679,1069,3,183,46,313,119,4439,2209,34920,748,496
2021-07-30,5462,3370,59518,1069,2,171,45,316,123,4439,2087,31992,657,487
2021-07-31,5462,3370,59593,1069,1,160,43,315,114,4439,2057,31472,524,475
2021-08-01,5462,3370,59609,1069,0,162,36,320,110,4439,2066,31692,517,482
2021-08-02,5462,3370,59460,1069,5,168,30,319,109,4439,2110,32218,517,487
2021-08-03,5462,3370,59237,1069,1,170,30,327,106,4439,2139,32549,587,497
2021-08-04,5463,3371,59400,1069,8,176,69,341,103,4440,2363,37181,788,517
2021-08-05,5463,3371,59326,1069,4,173,67,372,101,4440,2229,34738,778,545
2021-08-06,5463,3371,58497,1069,5,177,62,339,103,4440,2098,31616,723,516
2021-08-07,5463,3371,59486,1069,1,175,64,354,97,4440,1725,26272,534,529
2021-08-08,5463,3371,59234,1069,4,172,49,342,94,4440,1727,26274,531,514
2021-08-09,5463,3366,58950,1070,6,179,51,369,95,4436,2223,34661,769,548
2021-08-10,5463,3366,59898,1070,10,187,65,380,102,4436,2235,35415,786,567
2021-08-11,5463,3366,59384,1070,14,207,91,386,104,4436,2346,37369,829,593
2021-08-12,5463,3366,59614,1070,4,204,74,415,99,4436,2194,35417,810,619
2021-08-13,5463,3365,59538,1067,10,214,71,426,99,4432,2093,32308,730,640
2021-08-14,5463,3365,59587,1067,6,222,73,409,103,4432,1734,26471,570,631
2021-08-15,5463,3365,59774,1067,7,227,59,426,104,4432,1725,26945,551,653
2021-08-16,5463,3365,59282,1067,8,243,72,468,118,4432,2237,35167,810,711
2021-08-17,5463,3365,59473,1067,4,248,78,486,119,4432,2232,35283,831,734
2021-08-18,5463,3365,59779,1067,15,255,84,523,114,4432,2298,37614,808,778
2021-08-19,5460,3365,59809,1067,11,269,76,561,122,4432,2192,35433,782,830
2021-08-20,5460,3373,59339,1066,7,272,76,606,126,4439,2065,32397,728,878
2021-08-21,4732,2682,52607,709,3,225,76,556,99,3391,1695,26676,531,781
2021-08-22,4732,2682,52689,709,4,240,61,601,102,3391,1677,26789,543,841
2021-08-23,4732,2682,52234,709,4,245,66,612,112,3391,1803,29245,638,857
2021-08-24,5460,3373,59517,1066,10,333,106,712,154,4439,2212,35569,783,1045
2021-08-25,5460,3373,59505,1066,21,350,88,740,166,4439,2270,37629,808,1090
2021-08-26,5454,3373,59488,1066,13,365,112,797,157,4439,2193,35146,780,1162
2021-08-27,5454,3368,59193,1045,13,381,95,810,160,4413,2074,32262,715,1191
2021-08-28,5454,3368,58615,1045,8,380,95,819,173,4413,2045,26189,536,1199
2021-08-29,5454,3368,59158,1045,6,394,78,831,170,4413,2046,26972,530,1225
2021-08-30,5454,3368,59514,1045,18,411,120,877,177,4413,2146,34913,694,1288
2021-08-31,5454,3368,59311,1066,22,434,140,905,194,4434,2209,35233,816,1339
2021-09-01,5454,3368,59468,1066,15,449,140,927,213,4434,2258,37534,836,1376
2021-09-02,5454,3368,58921,1066,21,468,127,935,221,4434,2173,34968,781,1403
2021-09-03,5454,3371,59319,1064,19,482,111,1006,222,4435,2009,32384,627,1488
2021-09-04,5454,3371,59197,1064,11,496,123,1040,228,4435,2013,26347,570,1536
2021-09-05,5454,3371,58885,1064,19,516,114,1057,238,4435,1991,26331,554,1573
2021-09-06,5454,3371,59512,1064,15,535,131,1077,241,4435,2017,27235,582,1612
2021-09-07,5454,3371,59065,1064,21,556,119,1151,242,4435,2229,34959,803,1707
2021-09-08,5454,3371,59207,1064,29,569,170,1224,258,4435,2326,37433,923,1793
2021-09-09,5458,3371,59273,1064,13,579,126,1241,263,4435,2202,35513,785,1820
2021-09-10,5458,3372,59389,1065,15,600,122,1312,272,4437,2106,33194,694,1912
2021-09-11,3076,1739,39838,1065,11,451,75,1114,169,2804,535,15464,52,1565
2021-09-12,5458,3372,59492,1065,13,631,122,1351,269,4437,2038,33213,538,1982
2021-09-13,5458,3372,59645,1065,27,657,122,1336,278,4437,2197,35634,715,1993
2021-09-14,5458,3372,59701,1065,21,677,152,1426,292,4437,2292,38313,764,2103
2021-09-15,5458,3372,59615,1065,17,678,112,1441,297,4437,2299,38194,887,2119
2021-09-16,5459,3372,59620,1065,23,684,120,1440,315,4437,2301,37882,818,2124
2021-09-17,5461,3375,59563,1067,17,672,119,1470,298,4442,2178,35258,834,2142
2021-09-18,4733,2682,52644,709,9,523,78,1339,219,3391,1723,27295,549,1862
2021-09-19,4733,2682,52692,709,10,537,63,1364,216,3391,1761,27524,533,1901
2021-09-20,5461,3375,59661,1067,25,708,147,1551,330,4442,2231,37803,886,2259
2021-09-21,5435,3351,59696,1067,19,728,150,1632,330,4418,2233,38040,882,2360
2021-09-22,5435,3351,59239,1067,18,732,143,1658,340,4418,2228,37970,904,2390
2021-09-23,5435,3351,59591,1067,24,743,177,1692,332,4418,2229,37788,667,2435
2021-09-24,5435,3353,59613,1069,13,740,115,1678,329,4422,2056,33085,763,2418
2021-09-25,4707,2658,52383,709,8,594,62,1456,230,3367,1703,27126,535,2050
2021-09-26,4707,2658,52866,709,9,611,58,1490,235,3367,1705,27535,543,2101
2021-09-27,5435,3353,59670,1069,19,751,146,1726,337,4422,2278,37537,861,2477
2021-09-28,5435,3353,59651,1069,19,758,176,1747,328,4422,2292,37860,886,2505
2021-09-29,5435,3353,59582,1069,19,763,150,1722,323,4422,2293,37879,918,2485
2021-09-30,4707,2658,52326,709,15,610,101,1528,235,3367,1969,31655,712,2138
2021-10-01,5435,3352,58266,1069,9,744,111,1714,318,4421,2176,33817,811,2458
2021-10-02,4707,2658,52715,709,9,605,68,1542,231,3367,1836,28916,580,2147
2021-10-03,4707,2658,52361,709,6,603,67,1544,232,3367,1845,28692,574,2147
2021-10-04,5435,3352,59171,1069,21,744,127,1782,323,4421,2296,36721,904,2526
2021-10-05,5435,3352,59602,1069,16,743,214,1806,319,4421,2352,38133,846,2549
2021-10-06,5435,3352,59644,1069,16,726,157,1851,317,4421,2350,38186,937,2577
2021-10-07,5435,3352,59566,1069,14,729,167,1864,312,4421,2323,37768,951,2593
2021-10-08,5435,3345,59358,1069,10,728,136,1827,309,4414,2248,35589,866,2555
2021-10-09,5435,3345,58825,1069,15,716,112,1775,314,4414,1861,28651,598,2491
2021-10-10,5435,3345,58855,1069,6,714,96,1794,310,4414,1835,28564,580,2508
2021-10-11,5435,3345,59579,1069,12,694,123,1805,308,4414,1851,29227,577,2499
2021-10-12,5435,3344,59479,1069,19,718,111,1778,326,4413,2299,37196,978,2496
2021-10-13,5435,3345,59760,1069,9,710,146,1797,331,4414,2365,38692,971,2507
2021-10-14,5435,3345,60167,1069,20,713,135,1754,342,4414,2350,38753,880,2467
2021-10-15,5396,3324,59854,1072,9,705,130,1769,340,4396,2263,36632,787,2474
2021-10-16,5396,3324,60090,1072,10,697,99,1726,331,4396,2217,35743,611,2423
2021-10-17,5396,3324,60057,1072,15,706,109,1740,336,4396,2233,35211,583,2446
2021-10-18,5396,3324,60016,1072,24,703,149,1722,345,4396,2334,37867,837,2425
2021-10-19,5383,3314,60259,1072,9,676,108,1732,348,4386,2393,38530,867,2408
2021-10-20,5383,3314,60017,1072,16,674,116,1668,335,4386,2358,38692,856,2342
2021-10-21,5383,3314,59205,1072,15,639,110,1678,307,4386,2275,35283,845,2317
2021-10-22,5383,3314,59262,1069,17,630,113,1626,310,4383,2129,33731,766,2256
2021-10-23,5383,3314,59238,1069,9,634,117,1580,309,4383,2103,32922,574,2214
2021-10-24,5383,3314,58874,1069,10,626,104,1570,308,4383,2109,32335,572,2196
2021-10-25,5383,3314,59411,1069,14,616,93,1529,294,4383,2321,37042,854,2145
2021-10-26,5383,3314,59871,1069,25,615,121,1491,296,4383,2376,38246,870,2106
2021-10-27,5383,3314,59831,1069,24,613,134,1489,301,4383,2361,38289,863,2102
2021-10-28,5383,3314,60126,1069,19,606,118,1479,291,4383,2371,38539,734,2085
2021-10-29,5383,3315,59677,1069,15,604,105,1448,292,4384,2197,34953,747,2052
2021-10-30,5383,3315,59743,1069,14,590,97,1421,294,4384,2150,28283,546,2011
2021-10-31,5383,3315,59239,1069,13,580,113,1444,283,4384,2120,27937,524,2024
2021-11-01,5383,3315,59788,1071,19,578,91,1436,270,4386,2241,36057,830,2014
2021-11-02,5383,3315,59816,1071,13,563,113,1498,266,4386,2286,37039,831,2061
2021-11-03,5383,3315,58843,1071,18,543,124,1413,274,4386,2275,36210,813,1956
2021-11-04,5383,3315,59758,1071,14,525,140,1411,270,4386,2281,37437,846,1936
2021-11-05,5383,3313,59536,1075,9,516,111,1411,259,4388,2177,34837,739,1927
2021-11-06,5383,3313,59763,1075,7,504,98,1412,252,4388,2179,34216,528,1916
2021-11-07,5383,3313,59452,1075,11,499,102,1425,249,4388,2133,34037,545,1924
2021-11-08,5383,3313,58111,1073,11,496,105,1379,252,4386,2303,35806,769,1875
2021-11-09,5383,3313,59047,1073,14,501,99,1379,259,4386,2332,36734,830,1880
2021-11-10,5383,3313,59787,1073,13,485,115,1295,255,4386,2316,37255,828,1780
2021-11-11,5383,3313,59090,1073,9,469,108,1327,254,4386,2233,34236,561,1796
2021-11-12,5383,3311,58539,1076,15,472,112,1315,247,4387,2206,33562,731,1787
2021-11-13,5383,3311,59480,1076,13,471,124,1316,243,4387,2165,33610,526,1787
2021-11-14,5383,3311,58826,1076,10,476,85,1326,251,4387,2184,32854,527,1802
2021-11-15,5383,3311,59249,1076,13,473,94,1293,239,4387,2271,36120,815,1766
2021-11-16,5383,3311,59799,1076,8,451,119,1322,239,4387,2311,36794,819,1773
2021-11-17,5383,3311,59580,1076,12,447,104,1303,238,4387,2313,36810,788,1750
2021-11-18,5383,3311,59885,1076,12,445,120,1290,241,4387,2292,36820,810,1735
2021-11-19,5382,3304,58839,1072,11,446,111,1265,245,4376,2207,34260,716,1711
2021-11-20,5381,3304,59060,1072,8,445,109,1245,246,4376,2178,34275,555,1690
2021-11-21,5381,3304,59120,1072,16,458,93,1258,243,4376,2162,33419,518,1716
2021-11-22,5381,3304,58794,1072,7,449,118,1250,237,4376,2293,36197,802,1699
2021-11-23,5381,3304,59446,1072,13,460,108,1227,235,4376,2349,37781,817,1687
2021-11-24,5381,3304,58132,1072,12,452,101,1210,223,4376,2340,36691,827,1662
2021-11-25,5381,3304,59267,1072,10,451,101,1133,230,4376,2340,37693,847,1584
2021-11-26,5381,3306,59258,1073,13,446,105,1138,231,4379,2233,35113,762,1584
2021-11-27,5381,3306,58530,1073,15,435,106,1161,230,4379,2092,31943,570,1596
2021-11-28,5381,3306,58562,1073,7,444,88,1151,232,4379,2101,30802,587,1595
2021-11-29,5381,3306,58914,1073,19,470,101,1164,238,4379,2262,36120,827,1634
2021-11-30,5381,3306,58951,1073,4,458,80,1186,229,4379,2408,35456,820,1644
2021-12-01,5381,3306,58888,1073,10,443,112,1182,227,4379,2380,35464,811,1625
2021-12-02,5381,3306,58828,1073,11,435,94,1144,229,4379,2367,37193,796,1579
2021-12-03,5344,3304,58736,1071,16,454,118,1089,232,4375,2305,34938,714,1543
2021-12-04,5344,3304,57818,1071,7,446,100,1093,231,4375,2214,31320,551,1539
2021-12-05,5344,3304,57943,1071,4,457,63,1129,234,4375,2146,29513,514,1586
2021-12-06,5344,3304,59012,1071,13,446,119,1117,229,4375,2400,36951,804,1563
2021-12-07,5344,3304,59677,1071,16,426,101,1123,230,4375,2454,38160,825,1549
2021-12-08,5344,3304,59149,1071,12,430,111,1098,226,4375,2486,37826,851,1528
2021-12-09,5344,3304,59666,1071,17,425,108,1096,220,4375,2489,38190,897,1521
2021-12-10,5344,3307,59512,1069,15,420,114,1092,217,4376,2352,35584,763,1512
2021-12-11,5344,3307,59327,1069,11,424,114,1110,213,4376,2258,32520,533,1534
2021-12-12,5344,3307,59174,1069,15,439,101,1125,208,4376,2250,32139,504,1564
2021-12-13,5344,3307,58518,1069,18,453,100,1086,229,4376,2410,36390,812,1539
2021-12-14,5344,3307,58648,1069,11,453,135,1066,234,4376,2439,37257,848,1519
2021-12-15,5352,3315,58368,1069,11,440,123,1097,238,4384,2452,36931,883,1537
2021-12-16,5352,3315,59080,1069,16,424,139,1126,223,4384,2453,37402,841,1550
2021-12-17,5356,3316,58866,1070,16,435,157,1142,225,4386,2357,34850,748,1577
2021-12-18,5356,3316,58128,1070,22,453,135,1136,238,4386,2223,31047,558,1589
2021-12-19,5356,3316,58381,1070,15,459,137,1199,241,4386,2193,30781,548,1658
2021-12-20,5356,3316,59001,966,12,468,148,1203,241,4282,2329,35039,799,1671
2021-12-21,5358,3318,58705,966,14,463,183,1248,249,4284,2359,34884,821,1711
2021-12-22,5358,3318,58593,966,14,455,209,1340,240,4284,2332,33661,774,1795
2021-12-23,5359,3318,58688,966,17,461,221,1338,246,4284,2242,33669,793,1799
2021-12-24,5359,3318,58538,966,10,451,147,1386,233,4284,2138,31902,787,1837
2021-12-25,5359,3318,58328,966,10,449,126,1435,230,4284,2028,28401,552,1884
2021-12-26,5359,3318,58389,966,34,476,386,1692,231,4284,2087,30867,550,2168
2021-12-27,5359,3318,58417,966,21,490,310,1922,240,4284,2143,31694,591,2412
2021-12-28,5359,3318,59146,966,20,476,371,2156,242,4284,2152,33004,553,2632
2021-12-29,5359,3318,59101,966,34,510,516,2489,247,4284,2202,33375,784,2999
2021-12-30,5360,3319,58304,965,32,533,527,2829,253,4284,2244,33044,780,3362
2021-12-31,5359,3318,57923,966,28,550,488,2789,272,4284,2229,32368,767,3339
2022-01-01,5359,3318,58233,966,25,574,444,3291,272,4284,2159,30142,553,3865
