date,retail,grocery,park,trainsit,workplace,residential
10/20/2021,-6,7,56,-45,-31,9
10/21/2021,-8,6,22,-44,-30,11
10/22/2021,-7,2,42,-41,-28,9
10/23/2021,0,7,82,-27,-2,2
10/24/2021,4,3,86,-32,-5,2
10/25/2021,-13,-4,-10,-49,-33,12
10/26/2021,-9,4,-4,-48,-31,11
10/27/2021,-3,9,58,-42,-30,9
10/28/2021,-3,10,40,-42,-29,9
10/29/2021,-7,1,18,-41,-27,9
10/30/2021,-2,10,16,-31,-3,3
10/31/2021,3,7,77,-29,-5,2
11/1/2021,-9,3,29,-46,-32,10
11/2/2021,-9,6,17,-46,-30,10
11/3/2021,-8,5,17,-46,-30,10
11/4/2021,-7,7,26,-43,-30,10
11/5/2021,-8,0,32,-42,-28,9
11/6/2021,-1,5,68,-30,-2,2
11/7/2021,5,5,92,-31,-5,2
11/8/2021,-8,3,53,-45,-30,10
11/9/2021,-10,4,20,-46,-29,10
11/10/2021,-6,7,33,-44,-30,10
11/11/2021,-4,7,31,-44,-33,11
11/12/2021,-8,0,22,-43,-30,10
11/13/2021,-2,4,30,-31,-3,3
11/14/2021,-3,-3,-4,-38,-7,4
11/15/2021,-9,1,5,-46,-31,11
11/16/2021,-9,4,10,-45,-29,10
11/17/2021,-10,1,-3,-46,-29,11
11/18/2021,-6,4,7,-43,-28,10
11/19/2021,-6,-1,13,-42,-29,10
11/20/2021,1,5,31,-29,-1,3
11/21/2021,2,1,15,-35,-5,3
11/22/2021,-9,0,-1,-47,-30,11
11/23/2021,-8,4,5,-46,-29,10
11/24/2021,-6,3,9,-45,-29,10
11/25/2021,-4,4,-6,-44,-29,11
11/26/2021,-3,0,-5,-43,-29,10
11/27/2021,1,5,24,-31,0,3
11/28/2021,-3,-5,4,-36,-5,4
11/29/2021,-6,3,0,-46,-30,10
11/30/2021,-6,7,-4,-45,-29,10
12/1/2021,-4,7,1,-45,-29,10
12/2/2021,-6,6,1,-44,-28,11
12/3/2021,-6,1,9,-44,-27,10
12/4/2021,-1,5,26,-33,0,3
12/5/2021,-2,-1,4,-38,-5,4
12/6/2021,-13,-1,-16,-50,-32,12
12/7/2021,-8,5,-6,-47,-28,10
12/8/2021,-10,0,-8,-47,-28,11
12/9/2021,-7,6,-1,-45,-27,11
12/10/2021,-6,4,8,-43,-25,10
12/11/2021,-4,4,14,-33,1,4
12/12/2021,6,5,32,-34,-2,3
12/13/2021,-4,10,14,-46,-29,10
12/14/2021,-3,12,14,-46,-28,10
12/15/2021,-4,9,-6,-46,-29,11
12/16/2021,0,15,11,-44,-28,10
12/17/2021,-3,9,10,-43,-27,10
12/18/2021,-12,1,-1,-34,-1,5
12/19/2021,1,4,19,-34,-2,4
12/20/2021,2,18,5,-49,-40,12
12/21/2021,4,26,9,-48,-40,12
12/22/2021,6,34,-5,-49,-42,13
12/23/2021,10,52,8,-47,-45,13
12/24/2021,-19,32,5,-55,-64,18
12/25/2021,-76,-74,-10,-60,-63,9
12/26/2021,-15,-23,18,-43,-27,4
12/27/2021,-16,-4,0,-63,-77,22
12/28/2021,-9,10,21,-59,-69,20
12/29/2021,-10,10,8,-57,-60,19
12/30/2021,-6,25,26,-55,-60,19
12/31/2021,-20,19,34,-59,-66,21
1/1/2022,-65,-68,12,-60,-54,13
1/2/2022,-23,-13,-1,-50,-18,9
1/3/2022,-17,4,-1,-64,-62,21
1/4/2022,-20,4,-8,-57,-44,17
1/5/2022,-31,-4,-30,-60,-46,20
1/6/2022,-31,-1,-18,-59,-46,20
1/7/2022,-35,-10,-24,-61,-44,20
1/8/2022,-31,-3,0,-50,-15,11
1/9/2022,-31,-11,-12,-54,-18,10
1/10/2022,-35,-13,-33,-63,-46,19
1/11/2022,-37,-12,-37,-64,-46,19
1/12/2022,-31,-2,-15,-61,-45,19
1/13/2022,-30,-1,-8,-60,-44,19
1/14/2022,-33,-10,-24,-61,-43,19
1/15/2022,-33,-8,-23,-55,-16,10
1/16/2022,-24,-1,16,-52,-16,7
1/17/2022,-65,-53,-41,-71,-67,27
1/18/2022,-33,-3,-17,-59,-45,18
1/19/2022,-30,-2,-21,-57,-39,16
1/20/2022,-29,-2,-24,-57,-37,16
1/21/2022,-31,-9,-23,-57,-35,16
1/22/2022,-29,-2,-1,-49,-11,8
1/23/2022,-28,-10,4,-53,-15,8
1/24/2022,-36,-16,-26,-59,-38,16
1/25/2022,-30,-4,-19,-57,-37,15
1/26/2022,-30,-8,-26,-59,-38,16
1/27/2022,-29,-3,-19,-56,-36,16
1/28/2022,-30,-8,-22,-56,-35,16
1/29/2022,-27,-2,-4,-47,-10,8
1/30/2022,-25,-7,8,-49,-12,7
1/31/2022,-20,-4,-4,-54,-36,13
2/1/2022,-18,5,0,-53,-35,12
2/2/2022,-29,-9,-28,-57,-37,16
2/3/2022,-34,-17,-25,-57,-38,17
2/4/2022,-26,-12,-18,-52,-33,14
2/5/2022,-18,-2,14,-41,-5,6
2/6/2022,-16,-7,21,-46,-8,5
2/7/2022,-23,-7,-7,-53,-32,12
2/8/2022,-22,-4,-11,-54,-32,12
2/9/2022,-21,-2,-6,-53,-32,12
2/10/2022,-19,3,-10,-51,-31,13
2/11/2022,-23,-8,-19,-52,-29,13
2/12/2022,-14,2,5,-40,-4,5
2/13/2022,-13,-1,-8,-47,-7,5
2/14/2022,-14,5,-16,-54,-33,12
2/15/2022,-23,-6,-11,-53,-31,12
2/16/2022,-20,-3,-10,-52,-31,12
2/17/2022,-28,-11,-32,-53,-34,15
2/18/2022,-26,-15,-18,-51,-39,15
2/19/2022,-23,-11,-13,-42,-9,6
2/20/2022,-3,3,25,-41,-11,3
2/21/2022,-36,-43,58,-65,-78,21
2/22/2022,-19,4,-26,-53,-32,12
2/23/2022,-19,-3,-23,-53,-32,12
2/24/2022,-17,1,-10,-50,-30,11
2/25/2022,-28,-18,-24,-53,-30,13
2/26/2022,-11,0,7,-38,0,4
2/27/2022,-12,-8,1,-42,-4,4
2/28/2022,-18,-5,-12,-50,-31,11
3/1/2022,-18,-3,-9,-49,-30,10
3/2/2022,-17,-4,-11,-50,-30,11
3/3/2022,-17,-3,-10,-48,-29,11
3/4/2022,-17,-9,-6,-48,-27,10
3/5/2022,-8,-2,16,-36,-2,3
3/6/2022,-6,-7,34,-39,-5,3
3/7/2022,-25,-14,-27,-52,-32,12
3/8/2022,-17,-2,-10,-49,-29,10
3/9/2022,-18,-6,-8,-49,-29,10
3/10/2022,-15,-2,0,-47,-28,10
3/11/2022,-22,-13,-20,-49,-27,11
3/12/2022,-14,-7,-12,-40,-3,4
3/13/2022,-14,-15,-14,-42,-6,4
3/14/2022,-15,-7,5,-51,-39,11
3/15/2022,-18,-10,-14,-52,-38,11
3/16/2022,-12,-4,4,-50,-38,11
3/17/2022,-5,0,63,-45,-37,9
3/18/2022,-11,-6,17,-47,-36,10
3/19/2022,-10,-6,-11,-38,-4,3
3/20/2022,-3,-3,41,-36,-6,2
3/21/2022,-15,-4,17,-49,-29,10
3/22/2022,-15,-1,2,-49,-28,9
3/23/2022,-22,-14,-30,-52,-31,12
3/24/2022,-14,-1,0,-47,-27,10
3/25/2022,-15,-8,-9,-48,-25,10
3/26/2022,-7,-4,0,-37,-1,3
3/27/2022,-11,-12,-21,-41,-6,4
3/28/2022,-21,-11,-22,-51,-29,11
3/29/2022,-14,2,-2,-49,-28,9
3/30/2022,-20,-10,-25,-50,-29,11
3/31/2022,-10,4,5,-45,-28,9
4/1/2022,-14,-5,-15,-48,-25,9
4/2/2022,-5,1,43,-35,-2,2
4/3/2022,-7,-4,6,-40,-6,4
4/4/2022,-16,-4,10,-49,-29,9
4/5/2022,-13,1,20,-47,-28,9
4/6/2022,-15,-4,2,-48,-29,10
4/7/2022,-12,1,8,-46,-28,10
4/8/2022,-11,-2,2,-45,-26,9
4/9/2022,-4,2,14,-34,-2,3
4/10/2022,0,1,37,-36,-5,3
4/11/2022,-12,1,12,-48,-29,10
4/12/2022,-8,7,58,-45,-28,8
4/13/2022,-10,5,3,-47,-29,10
4/14/2022,7,34,27,-41,-29,7
4/15/2022,-42,-46,29,-60,-78,22
4/16/2022,-2,23,41,-34,-11,2
4/17/2022,-36,-49,53,-38,-23,2
4/18/2022,-15,-2,-3,-52,-47,13
4/19/2022,-16,1,-18,-49,-29,10
4/20/2022,-8,5,26,-46,-29,9
4/21/2022,-11,2,13,-46,-28,10
4/22/2022,-8,-2,41,-43,-26,8
4/23/2022,-2,2,40,-31,1,2
4/24/2022,6,0,124,-28,-3,1
4/25/2022,-11,-2,6,-45,-29,9
4/26/2022,-9,3,9,-44,-27,8
4/27/2022,-8,2,-4,-45,-28,9
4/28/2022,-3,8,38,-40,-26,8
4/29/2022,-4,3,52,-39,-25,7
4/30/2022,4,6,103,-21,1,-1
5/1/2022,4,3,30,-28,-4,1
5/2/2022,-4,4,24,-42,-30,8
5/3/2022,-7,2,5,-43,-28,8
5/4/2022,-3,7,46,-41,-28,8
5/5/2022,0,10,70,-39,-27,7
5/6/2022,-3,3,55,-39,-26,6
5/7/2022,8,15,121,-21,-1,-1
5/8/2022,19,13,135,-22,-3,-2
5/9/2022,-3,5,81,-41,-28,7
5/10/2022,-1,10,79,-40,-27,6
5/11/2022,0,7,83,-39,-28,6
5/12/2022,1,12,94,-37,-27,6
5/13/2022,-2,5,102,-36,-27,5
5/14/2022,4,7,157,-18,-2,-1
5/15/2022,11,7,139,-22,-3,-1
5/16/2022,-6,3,36,-42,-28,8
5/17/2022,-3,8,56,-39,-26,6
5/18/2022,-3,5,51,-38,-27,7
5/19/2022,0,10,75,-36,-26,6
5/20/2022,0,9,103,-34,-28,5
5/21/2022,-1,2,141,-21,-8,-2
5/22/2022,15,10,121,-22,-11,-3
5/23/2022,-21,-34,208,-51,-80,15
5/24/2022,3,23,84,-38,-28,5
5/25/2022,-1,9,61,-38,-27,6
5/26/2022,0,11,74,-37,-26,6
5/27/2022,-3,5,59,-38,-25,6
5/28/2022,5,6,166,-16,2,-2
5/29/2022,12,6,174,-19,0,-2
5/30/2022,1,9,113,-37,-27,6
5/31/2022,3,15,97,-36,-25,5
6/1/2022,-1,8,49,-37,-26,7
6/2/2022,6,15,106,-32,-25,5
6/3/2022,-1,5,104,-33,-26,5
6/4/2022,5,6,178,-13,1,-3
6/5/2022,10,4,147,-14,-1,-2
6/6/2022,-5,3,39,-38,-27,7
6/7/2022,-4,8,28,-39,-26,8
6/8/2022,0,7,83,-33,-25,6
6/9/2022,0,9,73,-33,-24,6
6/10/2022,0,5,114,-31,-24,5
6/11/2022,3,5,162,-15,0,-2
6/12/2022,9,5,107,-20,-2,-1
6/13/2022,0,8,108,-34,-26,6
6/14/2022,2,10,114,-33,-24,5
6/15/2022,1,8,85,-32,-25,6
6/16/2022,2,11,93,-30,-24,6
6/17/2022,0,8,110,-29,-24,4
6/18/2022,7,12,171,-9,-1,-3
6/19/2022,16,8,167,-11,-2,-4
6/20/2022,1,9,94,-34,-27,6
6/21/2022,1,10,104,-33,-25,6
6/22/2022,2,9,94,-32,-26,6
6/23/2022,5,14,122,-28,-26,5
6/24/2022,1,8,137,-29,-27,5
6/25/2022,3,7,217,-9,0,-3
6/26/2022,11,5,144,-7,-1,-2
6/27/2022,4,10,107,-33,-30,6
6/28/2022,7,16,120,-31,-28,5
6/29/2022,8,15,89,-31,-30,6
6/30/2022,24,45,164,-24,-33,3
7/1/2022,-28,-37,298,-41,-78,14
7/2/2022,1,13,238,-12,-13,-3
7/3/2022,9,3,208,-10,-5,-4
7/4/2022,4,12,138,-33,-39,7
7/5/2022,1,12,76,-36,-35,8
7/6/2022,2,10,126,-33,-34,6
7/7/2022,4,14,150,-31,-34,6
7/8/2022,-8,-7,123,-37,-36,5
7/9/2022,3,7,223,-10,-3,-4
7/10/2022,10,5,211,-11,-3,-3
7/11/2022,1,9,126,-35,-36,7
7/12/2022,2,11,114,-34,-33,6
7/13/2022,2,8,104,-33,-33,7
7/14/2022,4,13,154,-30,-33,6
7/15/2022,-3,4,159,-31,-34,6
7/16/2022,1,5,231,-6,-2,-3
7/17/2022,9,3,192,-9,-2,-3
7/18/2022,-1,8,99,-37,-37,12
7/19/2022,1,9,117,-34,-34,11
7/20/2022,2,10,94,-33,-34,7
7/21/2022,4,15,135,-30,-33,7
7/22/2022,-3,7,149,-31,-33,6
7/23/2022,-1,6,213,-8,-1,-3
7/24/2022,4,2,111,-18,-3,0
7/25/2022,1,10,144,-34,-35,7
7/26/2022,1,11,147,-32,-33,6
7/27/2022,3,12,129,-31,-34,7
7/28/2022,5,18,139,-29,-33,6
7/29/2022,1,13,167,-28,-35,5
7/30/2022,0,8,247,-3,-5,-3
7/31/2022,12,8,269,-6,-5,-4
8/1/2022,-9,-11,212,-46,-75,13
8/2/2022,3,21,135,-33,-35,6
8/3/2022,-1,10,101,-34,-35,8
8/4/2022,0,14,102,-32,-34,8
8/5/2022,-3,7,143,-32,-34,6
8/6/2022,-1,6,207,-9,-1,-2
8/7/2022,5,3,156,-14,-2,-2
8/8/2022,-2,6,75,-35,-36,8
8/9/2022,1,12,123,-32,-32,6
8/10/2022,3,12,140,-31,-32,6
8/11/2022,4,15,150,-29,-32,6
8/12/2022,-2,6,151,-29,-32,5
8/13/2022,0,6,220,-5,0,-3
8/14/2022,9,5,201,-7,1,-2
8/15/2022,2,10,143,-31,-34,9
8/16/2022,1,11,129,-30,-32,8
8/17/2022,2,11,113,-30,-32,9
8/18/2022,4,16,143,-28,-32,9
8/19/2022,-1,8,145,-28,-33,8
8/20/2022,0,6,220,-3,1,-2
8/21/2022,8,4,123,-9,0,0
8/22/2022,0,7,73,-32,-35,10
8/23/2022,3,13,127,-29,-32,9
8/24/2022,3,11,127,-28,-32,8
8/25/2022,1,12,100,-29,-32,9
8/26/2022,-2,7,125,-27,-32,8
8/27/2022,2,6,219,3,2,-2
8/28/2022,10,5,196,0,2,-3
8/29/2022,2,10,97,-30,-34,8
8/30/2022,1,11,64,-32,-32,8
8/31/2022,7,15,103,-25,-32,6
9/1/2022,9,19,129,-24,-32,5
9/2/2022,1,11,143,-25,-34,5
9/3/2022,3,9,203,-1,-4,-3
9/4/2022,16,15,142,-5,-5,-3
9/5/2022,-23,-32,161,-44,-79,16
9/6/2022,7,28,80,-23,-32,5
9/7/2022,1,15,72,-21,-31,6
9/8/2022,2,14,91,-18,-29,5
9/9/2022,-2,7,104,-21,-28,4
9/10/2022,4,10,171,-4,4,-2
9/11/2022,9,9,120,-7,4,-1
9/12/2022,-3,8,48,-24,-31,7
9/13/2022,-2,11,56,-22,-29,5
9/14/2022,0,9,64,-21,-30,5
9/15/2022,1,12,76,-19,-29,5
9/16/2022,-2,5,74,-22,-28,5
9/17/2022,4,9,156,-3,3,-2
9/18/2022,8,8,91,-10,1,0
9/19/2022,-3,7,51,-26,-33,7
9/20/2022,0,14,68,-22,-28,5
9/21/2022,-1,9,51,-23,-29,6
9/22/2022,1,11,45,-20,-28,6
9/23/2022,-1,5,70,-23,-27,5
9/24/2022,4,7,123,-8,3,-1
9/25/2022,5,7,33,-18,0,1
9/26/2022,-5,5,21,-27,-28,7
9/27/2022,-4,10,18,-25,-26,6
9/28/2022,0,10,34,-22,-26,6
9/29/2022,5,16,69,-20,-25,5
9/30/2022,1,8,89,-23,-28,5
10/1/2022,5,9,129,-2,3,-2
10/2/2022,11,10,103,-6,2,-1
10/3/2022,-1,11,55,-25,-26,6
10/4/2022,0,16,59,-24,-23,5
10/5/2022,1,13,65,-22,-25,5
10/6/2022,2,17,59,-20,-22,5
10/7/2022,-1,13,42,-24,-26,6
10/8/2022,0,15,89,-9,-4,-1
10/9/2022,2,9,107,-16,-9,-3
10/10/2022,-35,-43,149,-50,-81,16
10/11/2022,-2,18,65,-25,-25,5
10/12/2022,-4,7,35,-26,-25,7
10/13/2022,-4,9,23,-25,-24,7
10/14/2022,-2,7,48,-26,-23,6
