GEO_CODE_(POR),GEO_NAME,GEO_CODE_(POW),GEO_NAME,Dim:_Sex_(3):_Member_ID:_[1]:_Total_-_Sex,Dim:_Sex_(3):_Member_ID:_[2]:_Male,Dim:_Sex_(3):_Member_ID:_[3]:_Female
3507004,Edwardsburgh_Cardinal,3501020,South_Dundas,185,50,135
3507006,Augusta,3510010,Kingston,40,15,25
3507006,Augusta,3509004,Smiths_Falls,30,10,20
3507006,Augusta,3507065,North_Grenville,70,25,45
3507006,Augusta,3507052,Merrickville-Wolford,20,10,0
3507006,Augusta,3507042,Athens,25,0,20
3507006,Augusta,3507024,Gananoque,30,10,25
3507006,Augusta,3507015,Brockville,1270,530,740
3507006,Augusta,3507014,Elizabethtown-Kitley,205,90,115
3507006,Augusta,3507008,Prescott,370,185,185
3507006,Augusta,3507006,Augusta,170,100,75
3507006,Augusta,3507004,Edwardsburgh_Cardinal,240,165,75
3507006,Augusta,3506008,Ottawa,185,115,70
3507006,Augusta,3501030,North_Dundas,20,10,15
3507006,Augusta,3501020,South_Dundas,50,10,40
3507006,Augusta,3501011,South_Stormont,20,10,0
3507008,Prescott,3507065,North_Grenville,25,0,20
3507008,Prescott,3507015,Brockville,330,135,200
3507008,Prescott,3507014,Elizabethtown-Kitley,65,25,40
3507008,Prescott,3507008,Prescott,445,195,250
3507008,Prescott,3507006,Augusta,45,25,20
3507008,Prescott,3507004,Edwardsburgh_Cardinal,120,75,40
3507008,Prescott,3506008,Ottawa,140,70,70
3507008,Prescott,3501020,South_Dundas,25,10,15
3507014,Elizabethtown-Kitley,3510010,Kingston,80,45,35
3507014,Elizabethtown-Kitley,3509028,Carleton_Place,25,10,25
3507014,Elizabethtown-Kitley,3509021,Perth,85,40,45
3507014,Elizabethtown-Kitley,3509004,Smiths_Falls,275,100,175
3507014,Elizabethtown-Kitley,3507065,North_Grenville,45,15,30
3507014,Elizabethtown-Kitley,3507052,Merrickville-Wolford,55,10,45
3507014,Elizabethtown-Kitley,3507042,Athens,40,25,10
3507014,Elizabethtown-Kitley,3507040,Rideau_Lakes,40,25,15
3507014,Elizabethtown-Kitley,3507024,Gananoque,20,10,15
3507014,Elizabethtown-Kitley,3507021,Leeds_and_the_Thousand_Islands,45,10,30
3507014,Elizabethtown-Kitley,3507017,Front_of_Yonge,35,15,15
3507014,Elizabethtown-Kitley,3507015,Brockville,1925,825,1095
3507014,Elizabethtown-Kitley,3507014,Elizabethtown-Kitley,580,370,210
3507014,Elizabethtown-Kitley,3507008,Prescott,75,45,30
3507014,Elizabethtown-Kitley,3507006,Augusta,50,35,10
3507014,Elizabethtown-Kitley,3507004,Edwardsburgh_Cardinal,40,25,15
3507014,Elizabethtown-Kitley,3506008,Ottawa,135,100,40
3507014,Elizabethtown-Kitley,3501020,South_Dundas,25,15,10
3507015,Brockville,3520005,Toronto,45,15,25
3507015,Brockville,3510010,Kingston,135,65,65
3507015,Brockville,3509021,Perth,25,10,10
3507015,Brockville,3509004,Smiths_Falls,35,15,20
3507015,Brockville,3507065,North_Grenville,30,20,10
3507015,Brockville,3507052,Merrickville-Wolford,20,0,10
3507015,Brockville,3507042,Athens,35,15,20
3507015,Brockville,3507024,Gananoque,60,35,25
3507015,Brockville,3507021,Leeds_and_the_Thousand_Islands,90,55,30
3507015,Brockville,3507017,Front_of_Yonge,100,55,45
3507015,Brockville,3507015,Brockville,5485,2445,3035
