"report_date","previous_day_total_doses_administered","previous_day_at_least_one","previous_day_fully_vaccinated","previous_day_3doses","total_doses_administered","total_individuals_at_least_one","total_individuals_partially_vaccinated","total_doses_in_fully_vaccinated_individuals","total_individuals_fully_vaccinated","total_individuals_3doses"
2022-02-08,39608,4275,9760,23216,31064758,12504270,,,11836876,6627305
2022-02-09,40906,4559,10980,22982,31105664,12508829,,,11847856,6650287
2022-02-10,47423,5482,12292,25882,31153087,12514311,,,11860148,6676169
2022-02-11,46607,5273,13464,24204,31199694,12519584,,,11873612,6700373
2022-02-12,48320,5242,14027,26242,31248014,12524826,,,11887639,6726615
2022-02-13,37546,3493,13537,19941,31285560,12528319,,,11901176,6746556
2022-02-14,18265,1687,6554,14361,31303825,12530006,,,11907730,6760917
2022-02-15,25258,3369,7249,12954,31329083,12533375,,,11914979,6773871
2022-02-16,31735,3603,10084,15957,31360818,12536978,,,11925063,6789828
2022-02-17,32924,3921,10326,16163,31393742,12540899,,,11935389,6805991
2022-02-18,30546,3472,9403,15058,31424288,12544371,,,11944792,6821049
2022-02-19,42927,3550,10422,26822,31467215,12547921,,,11955214,6847871
2022-02-20,33700,1970,8351,22911,31500915,12549891,,,11963565,6870782
2022-02-21,17909,1177,3868,12652,31518824,12551068,,,11967433,6883434
2022-02-22,9733,704,1790,7021,31528557,12551772,,,11969223,6890455
2022-02-23,30467,2913,6944,18313,31559024,12554685,,,11976167,6908768
2022-02-24,29826,3027,7458,16797,31588850,12557712,,,11983625,6925565
2022-02-25,27452,2821,7025,15366,31616302,12560533,,,11990650,6940931
2022-02-26,29072,2681,7372,17271,31645374,12563214,,,11998022,6958202
2022-02-27,27897,1758,7658,17712,31673271,12564972,,,12005680,6975914
2022-02-28,10810,900,2787,6822,31684081,12565872,,,12008467,6982736
2022-03-01,16438,2002,4481,8726,31700519,12567874,,,12012948,6991462
2022-03-02,19014,2324,5009,10312,31719533,12570198,,,12017957,7001774
2022-03-03,17291,2140,4535,9381,31736824,12572338,,,12022492,7011155
2022-03-04,17047,1867,4687,8853,31753871,12574205,,,12027179,7020008
2022-03-05,19812,1904,5528,11093,31773683,12576109,,,12032707,7031101
2022-03-06,17554,1348,5904,9950,31791237,12577457,,,12038611,7041051
2022-03-07,6281,619,1970,3523,31797518,12578076,,,12040581,7044574
2022-03-08,9737,1305,2956,4673,31807255,12579381,,,12043537,7049247
2022-03-09,13764,1640,3782,7042,31821019,12581021,,,12047319,7056289
2022-03-10,14705,1690,4072,7222,31835724,12582711,,,12051391,7063511
2022-03-11,15097,1550,4300,7314,31850821,12584261,,,12055691,7070825
2022-03-12,16229,1600,4850,8532,31867050,12585861,,,12060541,7079357
2022-03-13,15142,1251,5087,8378,31882192,12587112,,,12065628,7087735
2022-03-14,6602,549,2328,3524,31888794,12587661,,,12067956,7091259
2022-03-15,11697,1196,3217,6316,31900491,12588857,,,12071173,7097575
2022-03-16,14803,1463,4339,7326,31915294,12590320,,,12075512,7104901
2022-03-17,14246,1415,4428,7036,31929540,12591735,,,12079940,7111937
2022-03-18,12997,1300,3621,6560,31942537,12593035,,,12083561,7118497
2022-03-19,15321,1334,4493,7990,31957858,12594369,,,12088054,7126487
2022-03-20,11936,1109,4005,6339,31969794,12595478,,,12092059,7132826
2022-03-21,5281,482,1685,2820,31975075,12595960,,,12093744,7135646
2022-03-22,8377,1097,2142,4284,31983452,12597057,,,12095886,7139930
2022-03-23,10824,1125,2682,5373,31994276,12598182,,,12098568,7145303
2022-03-24,10190,1049,2782,4701,32004466,12599231,,,12101350,7150004
2022-03-25,9928,1047,2462,4911,32014394,12600278,,,12103812,7154915
2022-03-26,11641,1184,3059,5597,32026035,12601462,,,12106871,7160512
2022-03-27,10358,1032,3586,5262,32036393,12602494,,,12110457,7165774
2022-03-28,3928,453,1243,2030,32040321,12602947,,,12111700,7167804
2022-03-29,5967,714,1540,2890,32046288,12603661,,,12113240,7170694
2022-03-30,8484,1045,2131,4019,32054772,12604706,,,12115371,7174713
2022-03-31,9457,1027,2311,4664,32064229,12605733,,,12117682,7179377
2022-04-01,9618,1048,2173,4948,32073847,12606781,,,12119855,7184325
2022-04-02,10898,1151,2438,5652,32084745,12607932,,,12122293,7189977
2022-04-03,9003,935,2581,4973,32093748,12608867,,,12124874,7194950
2022-04-04,4052,455,996,2363,32097800,12609322,,,12125870,7197313
2022-04-05,6195,745,1244,3150,32103995,12610067,,,12127114,7200463
2022-04-06,8664,902,1656,4452,32112659,12610969,,,12128770,7204915
2022-04-07,10635,1033,1953,4959,32123294,12612002,,,12130723,7209874
2022-04-08,23530,1028,1829,4895,32146824,12613030,,,12132552,7214769
2022-04-09,30444,1195,2201,6031,32177268,12614225,,,12134753,7220800
2022-04-10,24861,1074,2372,5311,32202129,12615299,,,12137125,7226111
2022-04-11,12516,410,871,2451,32214645,12615709,,,12137996,7228562
2022-04-12,28641,938,1301,3863,32243286,12616647,,,12139297,7232425
2022-04-13,38191,1174,1854,5211,32281477,12617821,,,12141151,7237636
2022-04-14,38456,1195,1913,5181,32319933,12619016,,,12143064,7242817
2022-04-15,43240,1489,2359,6876,32363173,12620505,,,12145423,7249693
2022-04-16,8229,372,595,1758,32371402,12620877,,,12146018,7251451
2022-04-17,20708,944,1909,4169,32392110,12621821,,,12147927,7255620
2022-04-18,5699,365,472,1290,32397809,12622186,,,12148399,7256910
2022-04-19,22568,705,813,3161,32420377,12622891,,,12149212,7260071
2022-04-20,40643,1240,1627,4908,32461020,12624131,,,12150839,7264979
2022-04-21,39507,1249,1875,5007,32500527,12625380,,,12152714,7269986
2022-04-22,36134,1291,1730,4501,32536661,12626671,,,12154444,7274487
2022-04-23,35549,1365,2098,5005,32572210,12628036,,,12156542,7279492
2022-04-24,20928,1088,1879,3761,32593138,12629124,,,12158421,7283253
2022-04-25,8625,542,728,1735,32601763,12629666,,,12159149,7284988
2022-04-26,25856,1059,1314,3548,32627619,12630725,,,12160463,7288536
2022-04-27,34168,1216,1625,4202,32661787,12631941,,,12162088,7292738
2022-04-28,34089,1280,1714,4224,32695876,12633221,,,12163802,7296962
2022-04-29,33077,1390,1604,4246,32728953,12634611,,,12165406,7301208
2022-04-30,30913,1133,1758,4266,32759866,12635744,,,12167164,7305474
2022-05-01,16739,829,1543,2966,32776605,12636573,,,12168707,7308440
2022-05-02,6015,354,526,1097,32782620,12636927,,,12169233,7309537
2022-05-03,22040,910,1137,2693,32804660,12637837,,,12170370,7312230
2022-05-04,30214,1059,1630,3749,32834874,12638896,,,12172000,7315979
2022-05-05,29923,1169,1418,3378,32864797,12640065,,,12173418,7319357
2022-05-06,29872,1464,1616,3208,32894669,12641529,,,12175034,7322565
2022-05-07,29471,1133,1457,3353,32924140,12642662,,,12176491,7325918
2022-05-08,16246,912,1303,2326,32940386,12643574,,,12177794,7328244
2022-05-09,6019,371,457,883,32946405,12643945,,,12178251,7329127
2022-05-10,22123,931,1005,2392,32968528,12644876,,,12179256,7331519
2022-05-11,30290,1208,1503,2984,32998818,12646084,,,12180759,7334503
2022-05-12,29173,1120,1380,2771,33027991,12647204,,,12182139,7337274
2022-05-13,28144,1159,1409,2689,33056135,12648363,,,12183548,7339963
2022-05-14,26481,1081,1389,2762,33082616,12649444,,,12184937,7342725
2022-05-15,14929,794,1251,2051,33097545,12650238,,,12186188,7344776
2022-05-16,6658,409,569,1037,33104203,12650647,,,12186757,7345813
2022-05-17,20176,747,997,1944,33124379,12651394,,,12187754,7347757
2022-05-18,27019,1168,1357,2466,33151398,12652562,,,12189111,7350223
2022-05-19,25175,938,1428,2366,33176573,12653500,,,12190539,7352589
2022-05-20,24952,1084,1434,2449,33201525,12654584,,,12191973,7355038
2022-05-21,23398,936,1359,2590,33224923,12655520,,,12193332,7357628
2022-05-22,10568,594,907,1474,33235491,12656114,,,12194239,7359102
2022-05-23,4692,287,470,769,33240183,12656401,,,12194709,7359871
2022-05-24,2775,128,165,472,33242958,12656529,,,12194874,7360343
2022-05-25,19987,906,1184,2109,33262945,12657435,,,12196058,7362452
2022-05-26,21100,825,1106,2057,33284045,12658260,,,12197164,7364509
2022-05-27,22490,1052,1314,2277,33306535,12659312,,,12198478,7366786
2022-05-28,20145,955,1343,2292,33326680,12660267,,,12199821,7369078
2022-05-29,12158,803,1249,1737,33338838,12661070,,,12201070,7370815
2022-05-30,4719,343,621,763,33343557,12661413,,,12201691,7371578
2022-05-31,14540,887,1101,1796,33358097,12662300,,,12202792,7373374
2022-06-01,17293,899,1161,2041,33375390,12663199,,,12203953,7375415
2022-06-02,15179,823,1127,1803,33390569,12664022,,,12205080,7377218
2022-06-03,16984,941,1297,2031,33407553,12664963,,,12206377,7379249
2022-06-04,14204,892,1351,2001,33421757,12665855,,,12207728,7381250
2022-06-05,7877,627,1111,1381,33429634,12666482,,,12208839,7382631
2022-06-06,3411,265,460,623,33433045,12666747,,,12209299,7383254
2022-06-07,11757,699,992,1483,33444802,12667446,,,12210291,7384737
2022-06-08,14769,906,1272,1766,33459571,12668352,,,12211563,7386503
2022-06-09,13556,807,985,1608,33473127,12669159,,,12212548,7388111
2022-06-10,14471,857,1121,1747,33487598,12670016,,,12213669,7389858
2022-06-11,13222,755,1077,1798,33500820,12670771,,,12214746,7391656
2022-06-12,8235,713,1301,1442,33509055,12671484,,,12216047,7393098
2022-06-13,3304,347,451,703,33512359,12671831,,,12216498,7393801
2022-06-14,10419,638,698,1248,33522778,12672469,,,12217196,7395049
2022-06-15,13942,645,964,1617,33536720,12673114,,,12218160,7396666
2022-06-16,12946,682,930,1578,33549666,12673796,,,12219090,7398244
2022-06-17,12231,619,952,1645,33561897,12674415,,,12220042,7399889
2022-06-18,12241,659,1004,1840,33574138,12675074,,,12221046,7401729
2022-06-19,7137,563,896,1384,33581275,12675637,,,12221942,7403113
2022-06-20,2364,188,316,627,33583639,12675825,,,12222258,7403740
2022-06-21,10244,580,716,1387,33593883,12676405,,,12222974,7405127
2022-06-22,13986,588,819,1697,33607869,12676993,,,12223793,7406824
2022-06-23,14470,581,892,1626,33622339,12677574,,,12224685,7408450
2022-06-24,16011,588,875,1686,33638350,12678162,,,12225560,7410136
2022-06-25,14965,601,1002,1629,33653315,12678763,,,12226562,7411765
2022-06-26,8233,452,870,1257,33661548,12679215,,,12227432,7413022
2022-06-27,3282,195,406,561,33664830,12679410,,,12227838,7413583
2022-06-28,10107,525,588,1173,33674937,12679935,,,12228426,7414756
2022-06-29,14000,602,874,1652,33688937,12680537,,,12229300,7416408
2022-06-30,12455,612,2078,4105,33701392,12681149,,,12231378,7420513
2022-07-01,13580,750,1163,1288,33714972,12681899,,,12232541,7421801
2022-07-02,1887,158,202,373,33716859,12682057,,,12232743,7422174
2022-07-03,5095,293,459,942,33721954,12682350,,,12233202,7423116
2022-07-04,2856,146,285,610,33724810,12682496,,,12233487,7423726
2022-07-05,11404,475,666,1731,33736214,12682971,,,12234153,7425457
2022-07-06,16773,840,1168,2222,33752987,12683811,,,12235321,7427679
2022-07-07,16303,720,1082,2171,33769290,12684531,,,12236403,7429850
2022-07-08,18094,686,980,2430,33787384,12685217,,,12237383,7432280
2022-07-09,14315,670,884,2095,33801699,12685887,,,12238267,7434375
2022-07-10,7875,368,487,1152,33809574,12686255,,,12238754,7435527
2022-07-11,4294,248,354,876,33813868,12686503,,,12239108,7436403
2022-07-12,12953,571,719,1825,33826821,12687074,,,12239827,7438228
2022-07-13,17490,888,1083,2296,33844311,12687962,,,12240910,7440524
2022-07-14,17235,658,844,2132,33861546,12688620,,,12241754,7442656
2022-07-15,29435,846,1039,2343,33890981,12689466,,,12242793,7444999
2022-07-16,30843,879,981,2518,33921824,12690345,,,12243774,7447517
2022-07-17,22884,620,647,1849,33944708,12690965,,,12244421,7449366
2022-07-18,11363,228,255,844,33956071,12691193,,,12244676,7450210
2022-07-19,29457,818,813,2293,33985528,12692011,,,12245489,7452503
2022-07-20,37952,1091,1171,2723,34023480,12693102,,,12246660,7455226
2022-07-21,37000,1118,1144,2953,34060480,12694220,,,12247804,7458179
2022-07-22,36750,1279,1333,2942,34097230,12695499,,,12249137,7461121
2022-07-23,35361,1084,1151,2942,34132591,12696583,,,12250288,7464063
2022-07-24,21961,694,793,1720,34154552,12697277,,,12251081,7465783
2022-07-25,12033,396,311,1034,34166585,12697673,,,12251392,7466817
2022-07-26,26711,928,876,2335,34193296,12698601,,,12252268,7469152
2022-07-27,33617,1213,1232,2905,34226913,12699814,,,12253500,7472057
2022-07-28,32094,1088,1180,2800,34259007,12700902,,,12254680,7474857
2022-07-29,30665,2098,1148,2749,34289672,12703000,,,12255828,7477606
2022-07-30,7903,974,335,673,34297575,12703974,,,12256163,7478279
2022-07-31,19123,1878,713,1966,34316698,12705852,,,12256876,7480245
2022-08-01,14344,1161,562,1508,34331042,12707013,,,12257438,7481753
2022-08-02,7196,439,245,767,34338238,12707452,,,12257683,7482520
2022-08-03,6545,657,261,729,34344783,12708109,,,12257944,7483249
2022-08-04,43205,5344,1824,4312,34387988,12713453,,,12259768,7487561
2022-08-05,22599,3002,1025,2219,34410587,12716455,,,12260793,7489780
2022-08-06,20293,3189,891,2098,34430880,12719644,,,12261684,7491878
2022-08-07,12699,2303,587,1368,34443579,12721947,,,12262271,7493246
2022-08-08,4908,600,216,606,34448487,12722547,,,12262487,7493852
2022-08-09,21002,1651,740,1689,34469489,12724198,,,12263227,7495541
2022-08-10,20126,2707,1058,2123,34489615,12726905,,,12264285,7497664
2022-08-11,17743,2269,997,1973,34507358,12729174,,,12265282,7499637
2022-08-12,17929,2361,1019,2012,34525287,12731535,,,12266301,7501649
2022-08-13,16393,2325,983,1859,34541680,12733860,,,12267284,7503508
2022-08-14,9733,1707,647,1066,34551413,12735567,,,12267931,7504574
2022-08-15,3934,432,280,457,34555347,12735999,,,12268211,7505031
2022-08-16,11762,1396,827,1505,34567109,12737395,,,12269038,7506536
2022-08-17,2763,302,188,295,34569872,12737697,,,12269226,7506831
2022-08-18,24478,3082,1485,2770,34594350,12740779,,,12270711,7509601
2022-08-19,22052,3019,1463,2327,34616402,12743798,,,12272174,7511928
2022-08-20,14919,1889,938,1606,34631321,12745687,,,12273112,7513534
2022-08-21,6802,1043,427,708,34638123,12746730,,,12273539,7514242
2022-08-22,7607,1081,522,952,34645730,12747811,,,12274061,7515194
2022-08-23,11823,1447,772,1529,34657553,12749258,,,12274833,7516723
2022-08-24,15818,2187,1167,2188,34673371,12751445,,,12276000,7518911
2022-08-25,13788,1759,1193,2489,34687159,12753204,,,12277193,7521400
2022-08-26,15320,2053,1088,2287,34702479,12755257,,,12278281,7523687
2022-08-27,12889,1700,1031,2041,34715368,12756957,,,12279312,7525728
2022-08-28,8103,1360,646,1364,34723471,12758317,,,12279958,7527092
2022-08-29,3485,539,306,673,34726956,12758856,,,12280264,7527765
2022-08-30,10840,1427,921,1995,34737796,12760283,,,12281185,7529760
2022-08-31,14275,1880,1154,2427,34752071,12762163,,,12282339,7532187
2022-09-01,13857,1988,1228,2308,34765928,12764151,,,12283567,7534495
2022-09-02,15634,1803,1168,4961,34781562,12765954,,,12284735,7539456
2022-09-03,15355,1751,1116,5544,34796917,12767705,,,12285851,7545000
2022-09-04,8836,1100,681,3217,34805753,12768805,,,12286532,7548217
2022-09-05,3567,360,235,1358,34809320,12769165,,,12286767,7549575
2022-09-06,2486,177,117,1108,34811806,12769342,,,12286884,7550683
2022-09-07,11671,1315,830,3564,34823477,12770657,,,12287714,7554247
2022-09-08,11649,1302,788,2906,34835126,12771959,,,12288502,7557153
2022-09-09,10362,1242,744,2617,34845488,12773201,,,12289246,7559770
2022-09-10,11305,1498,790,3220,34856793,12774699,,,12290036,7562990
2022-09-11,9405,1068,678,3665,34866198,12775767,,,12290714,7566655
2022-09-12,3187,328,227,1086,34869385,12776095,,,12290941,7567741
2022-09-13,6762,766,637,1388,34876147,12776861,,,12291578,7569129
2022-09-14,15090,1021,679,2035,34891237,12777882,,,12292257,7571164
2022-09-15,16624,1099,746,1743,34907861,12778981,,,12293003,7572907
2022-09-16,18500,1026,683,1861,34926361,12780007,,,12293686,7574768
2022-09-17,17599,1080,713,2075,34943960,12781087,,,12294399,7576843
2022-09-18,11732,720,475,1384,34955692,12781807,,,12294874,7578227
2022-09-19,4950,425,301,669,34960642,12782232,,,12295175,7578896
2022-09-20,14280,647,542,1056,34974922,12782879,,,12295717,7579952
2022-09-21,23531,926,688,1672,34998453,12783805,,,12296405,7581624
2022-09-22,23123,980,745,1508,35021576,12784785,,,12297150,7583132
2022-09-23,23697,986,863,1560,35045273,12785771,,,12298013,7584692
2022-09-24,22122,1012,941,1662,35067395,12786783,,,12298954,7586354
2022-09-25,11383,660,726,1337,35078778,12787443,,,12299680,7587691
2022-09-26,4502,218,223,591,35083280,12787661,,,12299903,7588282
2022-09-27,37846,715,616,1648,35121126,12788376,,,12300519,7589930
2022-09-28,51172,1022,959,2105,35172298,12789398,,,12301478,7592035
2022-09-29,48280,1008,1053,2038,35220578,12790406,,,12302531,7594073
2022-09-30,47786,934,1035,2128,35268364,12791340,,,12303566,7596201
2022-10-01,34649,646,715,1630,35303013,12791986,,,12304281,7597831
2022-10-02,24584,808,1048,1709,35327597,12792794,,,12305329,7599540
2022-10-03,10980,255,241,604,35338577,12793049,,,12305570,7600144
2022-10-04,32811,725,750,1355,35371388,12793774,,,12306320,7601499
2022-10-05,40410,880,1051,1722,35411798,12794654,,,12307371,7603221
2022-10-06,38827,947,986,1753,35450625,12795601,,,12308357,7604974
2022-10-07,42869,984,1168,1999,35493494,12796585,,,12309525,7606973
2022-10-08,38439,1041,1407,2283,35531933,12797626,,,12310932,7609256
2022-10-09,19068,401,739,1535,35551001,12798027,,,12311671,7610791
2022-10-10,7153,216,388,552,35558154,12798243,,,12312059,7611343
2022-10-11,5157,143,125,339,35563311,12798386,,,12312184,7611682
2022-10-12,35426,856,975,1592,35598737,12799242,,,12313159,7613274
2022-10-13,37162,975,1202,1795,35635899,12800217,,,12314361,7615069
2022-10-14,37583,871,1021,1699,35673482,12801088,,,12315382,7616768
2022-10-15,33627,860,1162,1806,35707109,12801948,,,12316544,7618574
2022-10-16,24456,626,846,1314,35731565,12802574,,,12317390,7619888
2022-10-17,11209,287,387,602,35742774,12802861,,,12317777,7620490
2022-10-18,32608,833,1127,1752,35775382,12803694,,,12318904,7622242
2022-10-19,50024,920,1049,2167,35825406,12804614,,,12319953,7624409
2022-10-20,51254,908,937,2190,35876660,12805522,,,12320890,7626599
2022-10-21,41209,655,610,1373,35917869,12806177,,,12321500,7627972
2022-10-22,62473,1215,1379,3114,35980342,12807392,,,12322879,7631086
2022-10-23,31484,632,827,2161,36011826,12808024,,,12323706,7633247
2022-10-24,14616,272,289,974,36026442,12808296,,,12323995,7634221
2022-10-25,41020,660,647,1882,36067462,12808956,,,12324642,7636103
2022-10-26,52698,897,938,2261,36120160,12809853,,,12325580,7638364
2022-10-27,50854,906,1066,2345,36171014,12810759,,,12326646,7640709
2022-10-28,50131,845,999,2290,36221145,12811604,,,12327645,7642999
2022-10-29,52003,972,1014,2344,36273148,12812576,,,12328659,7645343
2022-10-30,28939,723,968,1982,36302087,12813299,,,12329627,7647325
2022-10-31,13063,249,269,782,36315150,12813548,,,12329896,7648107
2022-11-01,34273,578,498,1361,36349423,12814126,,,12330394,7649468
2022-11-02,44447,845,887,2015,36393870,12814971,,,12331281,7651483
2022-11-03,44339,797,866,1964,36438209,12815768,,,12332147,7653447
2022-11-04,45344,950,819,2140,36483553,12816718,,,12332966,7655587
2022-11-05,45750,896,1023,2464,36529303,12817614,,,12333989,7658051
2022-11-06,26838,620,780,2101,36556141,12818234,,,12334769,7660152
2022-11-07,11270,286,252,874,36567411,12818520,,,12335021,7661026
2022-11-08,33870,700,647,1703,36601281,12819220,,,12335668,7662729
2022-11-09,40816,792,778,2045,36642097,12820012,,,12336446,7664774
2022-11-10,39849,844,763,2015,36681946,12820856,,,12337209,7666789
2022-11-11,43407,792,778,2245,36725353,12821648,,,12337987,7669034
2022-11-12,37015,838,824,2200,36762368,12822486,,,12338811,7671234
2022-11-13,24703,621,798,2236,36787071,12823107,,,12339609,7673470
2022-11-14,11302,266,210,1014,36798373,12823373,,,12339819,7674484
2022-11-15,34283,725,671,1862,36832656,12824098,,,12340490,7676346
2022-11-16,44128,1025,844,2512,36876784,12825123,,,12341334,7678858
2022-11-17,38780,910,864,2323,36915564,12826033,,,12342198,7681181
2022-11-18,41542,993,791,2428,36957106,12827026,,,12342989,7683609
2022-11-19,0,0,0,0,36957106,12827026,,,12342989,7683609
2022-11-20,63059,2004,2020,5523,37020165,12829030,,,12345009,7689132
2022-11-21,9158,211,206,980,37029323,12829241,,,12345215,7690112
2022-11-22,27328,663,580,1602,37056651,12829904,,,12345795,7691714
2022-11-23,32668,927,938,2197,37089319,12830831,,,12346733,7693911
2022-11-24,32602,902,978,2169,37121921,12831733,,,12347711,7696080
2022-11-25,31730,1011,1113,2047,37153651,12832744,,,12348824,7698127
2022-11-26,30704,1124,1423,2760,37184355,12833868,,,12350247,7700887
2022-11-27,19193,681,966,2079,37203548,12834549,,,12351213,7702966
2022-11-28,7709,240,293,768,37211257,12834789,,,12351506,7703734
2022-11-29,21888,637,668,1434,37233145,12835426,,,12352174,7705168
2022-11-30,28864,864,944,1927,37262009,12836290,,,12353118,7707095
2022-12-01,29944,770,909,14812,37291953,12837060,,,12354027,7721907
2022-12-02,25741,750,881,1923,37317694,12837810,,,12354908,7723830
2022-12-04,,,,,37359010,12839112,,,12356451,7727560
2022-12-05,6911,187,161,737,37365921,12839299,,,12356612,7728297
2022-12-06,0,0,0,0,37365921,12839299,,,12356612,7728297
2022-12-07,46106,1335,1326,3259,37412027,12840634,,,12357938,7731556
2022-12-08,0,0,0,0,37412027,12840634,,,12357938,7731556
2022-12-09,47671,1512,1402,3600,37459698,12842146,,,12359340,7735156
2022-12-10,22925,684,756,1683,37482623,12842830,,,12360096,7736839
2022-12-11,14728,615,818,1625,37497351,12843445,,,12360914,7738464
2022-12-12,5678,162,161,606,37503029,12843607,,,12361075,7739070
2022-12-13,0,0,0,0,37503029,12843607,,,12361075,7739070
2022-12-14,40429,1310,1360,2799,37543458,12844917,,,12362435,7741869
2022-12-15,0,0,0,0,37543458,12844917,,,12362435,7741869
2022-12-16,39258,1253,1358,2801,37582716,12846170,,,12363793,7744670
2022-12-17,0,0,0,0,37582716,12846170,,,12363793,7744670
2022-12-18,32414,1341,1529,2664,37615130,12847511,,,12365322,7747334
2022-12-19,4833,155,110,446,37619963,12847666,,,12365432,7747780
2022-12-20,16347,655,635,1152,37636310,12848321,,,12366067,7748932
2022-12-21,18672,688,644,1400,37654982,12849009,,,12366711,7750332
2022-12-22,19442,809,821,1835,37674424,12849818,,,12367532,7752167
