country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-06,2,14,,-13,-19
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-07,-3,7,,-17,-21
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-08,2,18,,-17,-17
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-09,-4,8,,-10,-20
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-10,0,13,,-22,-3
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-11,4,17,,-49,1
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-12,-51,-49,,-26,-73
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-13,-1,12,,-16,-20
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-14,0,10,,-11,-16
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-15,1,14,,-22,-16
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-16,-8,-1,,-29,-17
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-17,7,6,,-25,-1
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-18,6,9,,-41,0
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-19,-4,6,,-18,-20
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-20,5,14,,-17,-16
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-21,0,11,,-21,-17
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-22,2,21,,-20,-14
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-23,-4,-3,,-20,-16
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-24,2,5,,-29,1
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-25,9,14,,-40,2
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-26,-4,5,,-20,-20
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-27,2,13,,-15,-18
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-28,4,15,,-18,-15
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-29,7,16,,-18,-14
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-30,2,12,,-22,-14
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-10-31,9,10,,-16,-2
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-01,6,7,,-41,-4
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-02,-2,5,,-22,-19
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-03,-3,2,,-15,-16
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-04,-2,0,,-15,-17
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-05,3,8,,-14,-15
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-06,-8,-4,,-21,-17
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-07,6,-3,,-16,-1
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-08,14,9,,-32,2
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-09,0,1,,-18,-19
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-10,7,11,,-20,-15
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-11,3,5,,-19,-21
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-12,2,6,,-20,-17
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-13,-4,-4,,-28,-17
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-14,5,2,,-31,-3
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-15,6,4,,-39,-3
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-16,-3,1,,-19,-19
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-17,1,3,,-18,-16
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-18,-1,7,,-18,-15
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-19,5,11,,-22,-14
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-20,0,3,,-25,-16
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-21,7,8,,-24,-3
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-22,5,8,,-41,-2
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-23,-4,7,,-27,-20
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-24,4,9,,-21,-16
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-25,-9,-8,,-21,-17
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-26,11,21,,-25,-14
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-27,-1,4,,-28,-19
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-28,10,14,,-26,-2
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-29,14,20,,-45,1
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-11-30,1,12,,-25,-18
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-01,3,17,,-19,-16
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-02,-2,8,,-24,-16
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-03,5,14,,-25,-14
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-04,-7,-1,,-29,-13
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-05,4,10,,-31,-1
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-06,3,10,,-50,0
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-07,-2,11,,-25,-18
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-08,-1,8,,-22,-15
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-09,-8,6,,-25,-15
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-10,2,13,,-22,-14
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-11,1,11,,-29,-15
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-12,0,13,,-30,-4
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-13,5,16,,-47,-2
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-14,1,17,,-24,-18
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-15,2,12,,-21,-16
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-16,1,12,,-25,-17
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-17,5,22,,-23,-17
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-18,-7,9,,-29,-16
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-19,1,13,,-20,-4
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-20,-2,15,,-37,3
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-21,18,46,,-25,-31
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-22,26,58,,-18,-30
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-23,25,67,,-20,-33
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-24,-2,47,,-41,-55
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-25,-87,-80,,-60,-81
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-26,-58,-46,,-58,-41
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-27,-39,-18,,-55,-22
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-28,-37,-14,,-43,-62
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-29,-31,-2,,-36,-49
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-30,-32,6,,-42,-51
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2020-12-31,-21,30,,-52,-58
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-01,-77,-78,,-71,-79
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-02,-46,-22,,-49,-26
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-03,-35,-5,,-44,-11
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-04,-31,-2,,-37,-34
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-05,-28,2,,-28,-31
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-06,-33,-4,,-30,-30
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-07,-30,3,,-31,-29
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-08,-36,-11,,-40,-30
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-09,-35,-8,,-42,-18
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-10,-35,-8,,-56,-18
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-11,-34,-8,,-34,-31
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-12,-31,-2,,-32,-30
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-13,-34,-2,,-35,-31
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-14,-45,-9,,-44,-33
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-15,-46,-11,,-51,-35
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-16,-62,-38,,-58,-29
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-17,-47,-17,,-59,-19
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-18,-43,-10,,-43,-36
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-19,-41,-8,,-40,-36
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-20,-39,-6,,-37,-35
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-21,-42,-11,,-40,-34
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-22,-39,-11,,-46,-32
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-23,-42,-12,,-47,-23
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-24,-42,-8,,-60,-22
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-25,-38,-7,,-42,-34
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-26,-40,-8,,-43,-34
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-27,-38,-6,,-39,-33
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-28,-38,-1,,-43,-32
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-29,-39,-9,,-43,-33
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-30,-38,-6,,-46,-21
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-01-31,-38,-4,,-58,-16
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-02-01,-33,1,,-41,-31
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-02-02,-47,-17,,-37,-29
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-02-03,-41,-9,,-41,-35
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-02-04,-29,9,,-37,-24
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-02-05,-41,-13,,-46,-25
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-02-06,-37,-6,,-47,-15
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-02-07,-38,-1,,-56,-15
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-02-08,-37,-4,,-38,-26
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-02-09,-35,-2,,-36,-25
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-02-10,-32,2,,-34,-23
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-02-11,-32,5,,-38,-24
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-02-12,-36,-6,,-37,-26
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-02-13,-32,3,,-36,-17
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-02-14,-25,14,,-54,-13
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-02-15,-64,-43,,-37,-71
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-02-16,-29,-5,,-40,-35
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-02-17,-13,16,,-26,-19
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-02-18,-13,16,,-33,-19
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-02-19,-18,1,,-38,-17
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-02-20,-12,7,,-37,-11
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-02-21,-9,15,,-48,-10
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-02-22,-22,6,,-37,-22
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-02-23,-16,13,,-30,-20
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-02-24,-15,16,,-29,-20
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-02-25,-13,21,,-29,-18
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-02-26,-14,11,,-29,-17
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-02-27,-18,0,,-30,-9
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-02-28,-2,22,,-42,-1
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-01,-12,16,,-26,-20
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-02,-15,7,,-24,-19
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-03,-16,10,,-27,-20
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-04,-11,21,,-28,-19
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-05,-20,-2,,-29,-19
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-06,-9,9,,-29,-6
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-07,-5,16,,-42,-6
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-08,-11,11,,-27,-21
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-09,-9,17,,-26,-19
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-10,-4,20,,-18,-19
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-11,-2,24,,-23,-18
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-12,-11,5,,-29,-17
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-13,-2,11,,-28,-7
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-14,-5,12,,-38,-5
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-15,-10,9,,-25,-21
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-16,-7,16,,-18,-19
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-17,-3,18,,-24,-18
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-18,-5,20,,-24,-16
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-19,-3,10,,-28,-16
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-20,7,18,,-22,-3
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-21,17,24,,-30,1
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-22,3,18,,-21,-20
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-23,3,21,,-18,-17
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-24,-4,20,,-23,-18
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-25,5,24,,-18,-17
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-26,-16,-3,,-37,-18
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-27,3,17,,-24,-5
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-28,-1,15,,-47,-4
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-29,-2,17,,-20,-20
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-30,2,25,,-13,-19
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-03-31,5,41,,-14,-18
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-01,18,67,,-13,-19
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-02,-49,-36,,-23,-68
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-03,-1,43,,-27,-13
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-04,-47,-35,,-35,-20
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-05,-4,20,,-22,-43
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-06,-7,25,,-17,-20
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-07,7,36,,-13,-20
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-08,-22,12,,-19,-21
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-09,-28,-3,,-30,-22
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-10,-21,4,,-32,-12
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-11,-22,7,,-44,-11
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-12,-20,12,,-24,-31
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-13,-15,14,,-17,-30
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-14,-18,15,,-18,-31
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-15,-22,13,,-22,-30
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-16,-28,-2,,-31,-31
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-17,-33,-1,,-34,-12
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-18,-27,7,,-43,-11
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-19,-23,4,,-37,-30
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-20,-18,22,,-25,-29
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-21,-31,7,,-28,-31
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-22,-25,15,,-26,-28
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-23,-22,0,,-34,-27
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-24,-17,7,,-43,-11
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-25,-18,10,,-55,-11
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-26,-16,13,,-29,-28
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-27,-16,13,,-17,-28
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-28,-20,18,,-25,-28
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-29,-17,19,,-24,-25
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-04-30,-25,3,,-32,-27
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-05-01,-17,20,,-34,-12
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-05-02,-13,21,,-50,-9
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-05-03,-23,10,,-28,-27
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-05-04,-18,18,,-24,-26
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-05-05,-23,19,,-24,-26
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-05-06,-13,26,,-27,-25
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-05-07,-22,11,,-36,-26
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-05-08,-15,29,,-36,-12
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-05-09,-1,30,,-49,-4
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-05-10,-13,12,,-21,-28
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-05-11,-14,17,,-20,-27
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-05-12,-11,25,,-17,-27
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-05-13,-8,28,,-16,-26
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-05-14,-15,9,,-27,-27
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-05-15,-7,19,,-33,-13
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-05-16,-5,26,,-46,-7
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-05-17,-8,26,,-15,-28
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-05-18,-8,25,,-12,-27
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-05-19,-7,29,,-20,-27
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-05-20,-3,36,,-17,-26
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-05-21,-16,22,,-26,-30
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-05-22,-14,25,,-33,-15
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-05-23,1,37,,-54,-7
Canada,Ontario,Stormont,ChIJtSpRbsq20UwRnZuWhLLGCvY,2021-05-24,-28,-16,,-39,-72
